,result,about,coordinates,players,team
0,"{'event': 'Game Scheduled', 'eventCode': 'TBL1', 'eventTypeId': 'GAME_SCHEDULED', 'description': 'Game Scheduled'}","{'eventIdx': 0, 'eventId': 1, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T22:45:48Z', 'goals': {'away': 0, 'home': 0}}",{},,
1,"{'event': 'Period Ready', 'eventCode': 'TBL5', 'eventTypeId': 'PERIOD_READY', 'description': 'Period Ready'}","{'eventIdx': 1, 'eventId': 5, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:41:26Z', 'goals': {'away': 0, 'home': 0}}",{},,
2,"{'event': 'Period Start', 'eventCode': 'TBL51', 'eventTypeId': 'PERIOD_START', 'description': 'Period Start'}","{'eventIdx': 2, 'eventId': 51, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:44:06Z', 'goals': {'away': 0, 'home': 0}}",{},,
3,"{'event': 'Faceoff', 'eventCode': 'TBL52', 'eventTypeId': 'FACEOFF', 'description': 'Jeff Carter faceoff won against Brayden Point'}","{'eventIdx': 3, 'eventId': 52, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:44:06Z', 'goals': {'away': 0, 'home': 0}}","{'x': 0.0, 'y': 0.0}","[{'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Winner'}, {'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
4,"{'event': 'Hit', 'eventCode': 'TBL8', 'eventTypeId': 'HIT', 'description': 'Ondrej Palat hit Jeff Carter'}","{'eventIdx': 4, 'eventId': 8, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:18', 'periodTimeRemaining': '19:42', 'dateTime': '2021-10-12T23:44:24Z', 'goals': {'away': 0, 'home': 0}}","{'x': 46.0, 'y': 40.0}","[{'player': {'id': 8476292, 'fullName': 'Ondrej Palat', 'link': '/api/v1/people/8476292'}, 'playerType': 'Hitter'}, {'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
5,"{'event': 'Stoppage', 'eventCode': 'TBL9', 'eventTypeId': 'STOP', 'description': 'Puck in Netting'}","{'eventIdx': 5, 'eventId': 9, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:38', 'periodTimeRemaining': '19:22', 'dateTime': '2021-10-12T23:44:44Z', 'goals': {'away': 0, 'home': 0}}",{},,
6,"{'event': 'Faceoff', 'eventCode': 'TBL53', 'eventTypeId': 'FACEOFF', 'description': 'Anthony Cirelli faceoff won against Evan Rodrigues'}","{'eventIdx': 6, 'eventId': 53, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:38', 'periodTimeRemaining': '19:22', 'dateTime': '2021-10-12T23:45:07Z', 'goals': {'away': 0, 'home': 0}}","{'x': 0.0, 'y': 0.0}","[{'player': {'id': 8478519, 'fullName': 'Anthony Cirelli', 'link': '/api/v1/people/8478519'}, 'playerType': 'Winner'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
7,"{'event': 'Hit', 'eventCode': 'TBL10', 'eventTypeId': 'HIT', 'description': 'Anthony Cirelli hit Marcus Pettersson'}","{'eventIdx': 7, 'eventId': 10, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:53', 'periodTimeRemaining': '19:07', 'dateTime': '2021-10-12T23:45:22Z', 'goals': {'away': 0, 'home': 0}}","{'x': 50.0, 'y': -39.0}","[{'player': {'id': 8478519, 'fullName': 'Anthony Cirelli', 'link': '/api/v1/people/8478519'}, 'playerType': 'Hitter'}, {'player': {'id': 8477969, 'fullName': 'Marcus Pettersson', 'link': '/api/v1/people/8477969'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
8,"{'event': 'Stoppage', 'eventCode': 'TBL11', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 9, 'eventId': 11, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-12T23:45:32Z', 'goals': {'away': 0, 'home': 0}}",{},,
9,"{'event': 'Shot', 'eventCode': 'TBL54', 'eventTypeId': 'SHOT', 'description': 'Steven Stamkos Wrist Shot saved by Tristan Jarry', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 8, 'eventId': 54, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-12T23:45:32Z', 'goals': {'away': 0, 'home': 0}}","{'x': 61.0, 'y': -32.0}","[{'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Shooter'}, {'player': {'id': 8477465, 'fullName': 'Tristan Jarry', 'link': '/api/v1/people/8477465'}, 'playerType': 'Goalie'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
10,"{'event': 'Faceoff', 'eventCode': 'TBL55', 'eventTypeId': 'FACEOFF', 'description': 'Teddy Blueger faceoff won against Ross Colton'}","{'eventIdx': 10, 'eventId': 55, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-12T23:46:03Z', 'goals': {'away': 0, 'home': 0}}","{'x': 69.0, 'y': -22.0}","[{'player': {'id': 8476927, 'fullName': 'Teddy Blueger', 'link': '/api/v1/people/8476927'}, 'playerType': 'Winner'}, {'player': {'id': 8479525, 'fullName': 'Ross Colton', 'link': '/api/v1/people/8479525'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
11,"{'event': 'Takeaway', 'eventCode': 'TBL12', 'eventTypeId': 'TAKEAWAY', 'description': 'Takeaway by Mathieu Joseph'}","{'eventIdx': 11, 'eventId': 12, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:18', 'periodTimeRemaining': '18:42', 'dateTime': '2021-10-12T23:46:18Z', 'goals': {'away': 0, 'home': 0}}","{'x': 45.0, 'y': -22.0}","[{'player': {'id': 8478472, 'fullName': 'Mathieu Joseph', 'link': '/api/v1/people/8478472'}, 'playerType': 'PlayerID'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
12,"{'event': 'Blocked Shot', 'eventCode': 'TBL56', 'eventTypeId': 'BLOCKED_SHOT', 'description': 'Zach Bogosian shot blocked shot by Brock McGinn'}","{'eventIdx': 12, 'eventId': 56, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:25', 'periodTimeRemaining': '18:35', 'dateTime': '2021-10-12T23:46:25Z', 'goals': {'away': 0, 'home': 0}}","{'x': 60.0, 'y': -17.0}","[{'player': {'id': 8476934, 'fullName': 'Brock McGinn', 'link': '/api/v1/people/8476934'}, 'playerType': 'Blocker'}, {'player': {'id': 8474567, 'fullName': 'Zach Bogosian', 'link': '/api/v1/people/8474567'}, 'playerType': 'Shooter'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
13,"{'event': 'Shot', 'eventCode': 'TBL57', 'eventTypeId': 'SHOT', 'description': 'Brock McGinn Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 13, 'eventId': 57, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:44', 'periodTimeRemaining': '18:16', 'dateTime': '2021-10-12T23:46:44Z', 'goals': {'away': 0, 'home': 0}}","{'x': -65.0, 'y': 19.0}","[{'player': {'id': 8476934, 'fullName': 'Brock McGinn', 'link': '/api/v1/people/8476934'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
14,"{'event': 'Hit', 'eventCode': 'TBL13', 'eventTypeId': 'HIT', 'description': 'Sam Lafferty hit Jan Rutta'}","{'eventIdx': 14, 'eventId': 13, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:57', 'periodTimeRemaining': '18:03', 'dateTime': '2021-10-12T23:46:57Z', 'goals': {'away': 0, 'home': 0}}","{'x': -67.0, 'y': -40.0}","[{'player': {'id': 8478043, 'fullName': 'Sam Lafferty', 'link': '/api/v1/people/8478043'}, 'playerType': 'Hitter'}, {'player': {'id': 8480172, 'fullName': 'Jan Rutta', 'link': '/api/v1/people/8480172'}, 'playerType': 'Hittee'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
15,"{'event': 'Shot', 'eventCode': 'TBL58', 'eventTypeId': 'SHOT', 'description': 'Jan Rutta Wrist Shot saved by Tristan Jarry', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 15, 'eventId': 58, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:01', 'periodTimeRemaining': '17:59', 'dateTime': '2021-10-12T23:47:01Z', 'goals': {'away': 0, 'home': 0}}","{'x': -8.0, 'y': -27.0}","[{'player': {'id': 8480172, 'fullName': 'Jan Rutta', 'link': '/api/v1/people/8480172'}, 'playerType': 'Shooter'}, {'player': {'id': 8477465, 'fullName': 'Tristan Jarry', 'link': '/api/v1/people/8477465'}, 'playerType': 'Goalie'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
16,"{'event': 'Stoppage', 'eventCode': 'TBL14', 'eventTypeId': 'STOP', 'description': 'Icing'}","{'eventIdx': 16, 'eventId': 14, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:32', 'periodTimeRemaining': '17:28', 'dateTime': '2021-10-12T23:47:32Z', 'goals': {'away': 0, 'home': 0}}",{},,
17,"{'event': 'Faceoff', 'eventCode': 'TBL59', 'eventTypeId': 'FACEOFF', 'description': 'Jeff Carter faceoff won against Pierre-Edouard Bellemare'}","{'eventIdx': 17, 'eventId': 59, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:32', 'periodTimeRemaining': '17:28', 'dateTime': '2021-10-12T23:48:07Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': 22.0}","[{'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Winner'}, {'player': {'id': 8477930, 'fullName': 'Pierre-Edouard Bellemare', 'link': '/api/v1/people/8477930'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
18,"{'event': 'Hit', 'eventCode': 'TBL15', 'eventTypeId': 'HIT', 'description': 'Jeff Carter hit Pierre-Edouard Bellemare'}","{'eventIdx': 18, 'eventId': 15, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:45', 'periodTimeRemaining': '17:15', 'dateTime': '2021-10-12T23:48:20Z', 'goals': {'away': 0, 'home': 0}}","{'x': -70.0, 'y': 13.0}","[{'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Hitter'}, {'player': {'id': 8477930, 'fullName': 'Pierre-Edouard Bellemare', 'link': '/api/v1/people/8477930'}, 'playerType': 'Hittee'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
19,"{'event': 'Shot', 'eventCode': 'TBL60', 'eventTypeId': 'SHOT', 'description': 'Danton Heinen Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 19, 'eventId': 60, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:47', 'periodTimeRemaining': '17:13', 'dateTime': '2021-10-12T23:48:22Z', 'goals': {'away': 0, 'home': 0}}","{'x': -60.0, 'y': -4.0}","[{'player': {'id': 8478046, 'fullName': 'Danton Heinen', 'link': '/api/v1/people/8478046'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
20,"{'event': 'Stoppage', 'eventCode': 'TBL16', 'eventTypeId': 'STOP', 'description': 'Puck in Netting'}","{'eventIdx': 20, 'eventId': 16, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:48', 'periodTimeRemaining': '17:12', 'dateTime': '2021-10-12T23:48:23Z', 'goals': {'away': 0, 'home': 0}}",{},,
21,"{'event': 'Faceoff', 'eventCode': 'TBL61', 'eventTypeId': 'FACEOFF', 'description': 'Brayden Point faceoff won against Jeff Carter'}","{'eventIdx': 21, 'eventId': 61, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '02:48', 'periodTimeRemaining': '17:12', 'dateTime': '2021-10-12T23:48:53Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': -22.0}","[{'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Winner'}, {'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
22,"{'event': 'Shot', 'eventCode': 'TBL62', 'eventTypeId': 'SHOT', 'description': 'Ondrej Palat Wrist Shot saved by Tristan Jarry', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 22, 'eventId': 62, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '03:07', 'periodTimeRemaining': '16:53', 'dateTime': '2021-10-12T23:49:12Z', 'goals': {'away': 0, 'home': 0}}","{'x': 63.0, 'y': 4.0}","[{'player': {'id': 8476292, 'fullName': 'Ondrej Palat', 'link': '/api/v1/people/8476292'}, 'playerType': 'Shooter'}, {'player': {'id': 8477465, 'fullName': 'Tristan Jarry', 'link': '/api/v1/people/8477465'}, 'playerType': 'Goalie'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
23,"{'event': 'Blocked Shot', 'eventCode': 'TBL17', 'eventTypeId': 'BLOCKED_SHOT', 'description': 'Erik Cernak shot blocked shot by Danton Heinen'}","{'eventIdx': 23, 'eventId': 17, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '03:11', 'periodTimeRemaining': '16:49', 'dateTime': '2021-10-12T23:49:16Z', 'goals': {'away': 0, 'home': 0}}","{'x': 52.0, 'y': -21.0}","[{'player': {'id': 8478046, 'fullName': 'Danton Heinen', 'link': '/api/v1/people/8478046'}, 'playerType': 'Blocker'}, {'player': {'id': 8478416, 'fullName': 'Erik Cernak', 'link': '/api/v1/people/8478416'}, 'playerType': 'Shooter'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
24,"{'event': 'Stoppage', 'eventCode': 'TBL18', 'eventTypeId': 'STOP', 'description': 'Icing'}","{'eventIdx': 24, 'eventId': 18, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '03:18', 'periodTimeRemaining': '16:42', 'dateTime': '2021-10-12T23:49:23Z', 'goals': {'away': 0, 'home': 0}}",{},,
25,"{'event': 'Faceoff', 'eventCode': 'TBL63', 'eventTypeId': 'FACEOFF', 'description': 'Evan Rodrigues faceoff won against Brayden Point'}","{'eventIdx': 25, 'eventId': 63, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '03:18', 'periodTimeRemaining': '16:42', 'dateTime': '2021-10-12T23:49:48Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': 22.0}","[{'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Winner'}, {'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
26,"{'event': 'Blocked Shot', 'eventCode': 'TBL64', 'eventTypeId': 'BLOCKED_SHOT', 'description': 'Evan Rodrigues shot blocked shot by Ryan McDonagh'}","{'eventIdx': 26, 'eventId': 64, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '03:33', 'periodTimeRemaining': '16:27', 'dateTime': '2021-10-12T23:50:03Z', 'goals': {'away': 0, 'home': 0}}","{'x': -71.0, 'y': 11.0}","[{'player': {'id': 8474151, 'fullName': 'Ryan McDonagh', 'link': '/api/v1/people/8474151'}, 'playerType': 'Blocker'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Shooter'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
27,"{'event': 'Hit', 'eventCode': 'TBL19', 'eventTypeId': 'HIT', 'description': 'Evan Rodrigues hit Ryan McDonagh'}","{'eventIdx': 27, 'eventId': 19, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:09', 'periodTimeRemaining': '15:51', 'dateTime': '2021-10-12T23:50:39Z', 'goals': {'away': 0, 'home': 0}}","{'x': -95.0, 'y': 23.0}","[{'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Hitter'}, {'player': {'id': 8474151, 'fullName': 'Ryan McDonagh', 'link': '/api/v1/people/8474151'}, 'playerType': 'Hittee'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
28,"{'event': 'Stoppage', 'eventCode': 'TBL20', 'eventTypeId': 'STOP', 'description': 'Icing'}","{'eventIdx': 28, 'eventId': 20, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:28', 'periodTimeRemaining': '15:32', 'dateTime': '2021-10-12T23:50:58Z', 'goals': {'away': 0, 'home': 0}}",{},,
29,"{'event': 'Faceoff', 'eventCode': 'TBL65', 'eventTypeId': 'FACEOFF', 'description': 'Teddy Blueger faceoff won against Brayden Point'}","{'eventIdx': 29, 'eventId': 65, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:28', 'periodTimeRemaining': '15:32', 'dateTime': '2021-10-12T23:51:33Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': -22.0}","[{'player': {'id': 8476927, 'fullName': 'Teddy Blueger', 'link': '/api/v1/people/8476927'}, 'playerType': 'Winner'}, {'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
30,"{'event': 'Stoppage', 'eventCode': 'TBL21', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 31, 'eventId': 21, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:32', 'periodTimeRemaining': '15:28', 'dateTime': '2021-10-12T23:51:37Z', 'goals': {'away': 0, 'home': 0}}",{},,
31,"{'event': 'Shot', 'eventCode': 'TBL66', 'eventTypeId': 'SHOT', 'description': 'Mark Friedman Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 30, 'eventId': 66, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:32', 'periodTimeRemaining': '15:28', 'dateTime': '2021-10-12T23:51:37Z', 'goals': {'away': 0, 'home': 0}}","{'x': -63.0, 'y': -33.0}","[{'player': {'id': 8478017, 'fullName': 'Mark Friedman', 'link': '/api/v1/people/8478017'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
32,"{'event': 'Faceoff', 'eventCode': 'TBL67', 'eventTypeId': 'FACEOFF', 'description': 'Teddy Blueger faceoff won against Steven Stamkos'}","{'eventIdx': 32, 'eventId': 67, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:32', 'periodTimeRemaining': '15:28', 'dateTime': '2021-10-12T23:52:05Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': -22.0}","[{'player': {'id': 8476927, 'fullName': 'Teddy Blueger', 'link': '/api/v1/people/8476927'}, 'playerType': 'Winner'}, {'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
33,"{'event': 'Stoppage', 'eventCode': 'TBL22', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 34, 'eventId': 22, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:39', 'periodTimeRemaining': '15:21', 'dateTime': '2021-10-12T23:52:12Z', 'goals': {'away': 0, 'home': 0}}",{},,
34,"{'event': 'Shot', 'eventCode': 'TBL68', 'eventTypeId': 'SHOT', 'description': 'Dominik Simon Slap Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Slap Shot'}","{'eventIdx': 33, 'eventId': 68, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:39', 'periodTimeRemaining': '15:21', 'dateTime': '2021-10-12T23:52:12Z', 'goals': {'away': 0, 'home': 0}}","{'x': -61.0, 'y': -10.0}","[{'player': {'id': 8478866, 'fullName': 'Dominik Simon', 'link': '/api/v1/people/8478866'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
35,"{'event': 'Faceoff', 'eventCode': 'TBL69', 'eventTypeId': 'FACEOFF', 'description': 'Jeff Carter faceoff won against Steven Stamkos'}","{'eventIdx': 35, 'eventId': 69, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:39', 'periodTimeRemaining': '15:21', 'dateTime': '2021-10-12T23:52:44Z', 'goals': {'away': 0, 'home': 0}}","{'x': -69.0, 'y': -22.0}","[{'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Winner'}, {'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
36,"{'event': 'Hit', 'eventCode': 'TBL23', 'eventTypeId': 'HIT', 'description': 'Steven Stamkos hit Mark Friedman'}","{'eventIdx': 36, 'eventId': 23, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '04:54', 'periodTimeRemaining': '15:06', 'dateTime': '2021-10-12T23:52:59Z', 'goals': {'away': 0, 'home': 0}}","{'x': -83.0, 'y': -36.0}","[{'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Hitter'}, {'player': {'id': 8478017, 'fullName': 'Mark Friedman', 'link': '/api/v1/people/8478017'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
37,"{'event': 'Shot', 'eventCode': 'TBL70', 'eventTypeId': 'SHOT', 'description': 'Victor Hedman Wrist Shot saved by Tristan Jarry', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 37, 'eventId': 70, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '05:11', 'periodTimeRemaining': '14:49', 'dateTime': '2021-10-12T23:53:16Z', 'goals': {'away': 0, 'home': 0}}","{'x': 64.0, 'y': 31.0}","[{'player': {'id': 8475167, 'fullName': 'Victor Hedman', 'link': '/api/v1/people/8475167'}, 'playerType': 'Shooter'}, {'player': {'id': 8477465, 'fullName': 'Tristan Jarry', 'link': '/api/v1/people/8477465'}, 'playerType': 'Goalie'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
38,"{'event': 'Shot', 'eventCode': 'TBL24', 'eventTypeId': 'SHOT', 'description': 'Bryan Rust Backhand saved by Andrei Vasilevskiy', 'secondaryType': 'Backhand'}","{'eventIdx': 39, 'eventId': 24, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '05:18', 'periodTimeRemaining': '14:42', 'dateTime': '2021-10-12T23:53:23Z', 'goals': {'away': 0, 'home': 0}}","{'x': -75.0, 'y': -9.0}","[{'player': {'id': 8475810, 'fullName': 'Bryan Rust', 'link': '/api/v1/people/8475810'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
