,result,about,coordinates,players,team
222,"{'event': 'Faceoff', 'eventCode': 'TBL469', 'eventTypeId': 'FACEOFF', 'description': 'Brayden Point faceoff won against Teddy Blueger'}","{'eventIdx': 222, 'eventId': 469, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-13T01:37:07Z', 'goals': {'away': 2, 'home': 0}}","{'x': 69.0, 'y': -22.0}","[{'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Winner'}, {'player': {'id': 8476927, 'fullName': 'Teddy Blueger', 'link': '/api/v1/people/8476927'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
223,"{'event': 'Hit', 'eventCode': 'TBL420', 'eventTypeId': 'HIT', 'description': 'Brock McGinn hit Victor Hedman'}","{'eventIdx': 223, 'eventId': 420, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:35', 'periodTimeRemaining': '18:25', 'dateTime': '2021-10-13T01:37:39Z', 'goals': {'away': 2, 'home': 0}}","{'x': -70.0, 'y': 22.0}","[{'player': {'id': 8476934, 'fullName': 'Brock McGinn', 'link': '/api/v1/people/8476934'}, 'playerType': 'Hitter'}, {'player': {'id': 8475167, 'fullName': 'Victor Hedman', 'link': '/api/v1/people/8475167'}, 'playerType': 'Hittee'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
224,"{'event': 'Stoppage', 'eventCode': 'TBL421', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 225, 'eventId': 421, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:38', 'periodTimeRemaining': '18:22', 'dateTime': '2021-10-13T01:37:42Z', 'goals': {'away': 2, 'home': 0}}",{},,
225,"{'event': 'Shot', 'eventCode': 'TBL470', 'eventTypeId': 'SHOT', 'description': 'Teddy Blueger Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 224, 'eventId': 470, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:38', 'periodTimeRemaining': '18:22', 'dateTime': '2021-10-13T01:37:42Z', 'goals': {'away': 2, 'home': 0}}","{'x': -53.0, 'y': 5.0}","[{'player': {'id': 8476927, 'fullName': 'Teddy Blueger', 'link': '/api/v1/people/8476927'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
226,"{'event': 'Faceoff', 'eventCode': 'TBL471', 'eventTypeId': 'FACEOFF', 'description': 'Evan Rodrigues faceoff won against Pierre-Edouard Bellemare'}","{'eventIdx': 226, 'eventId': 471, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:38', 'periodTimeRemaining': '18:22', 'dateTime': '2021-10-13T01:38:12Z', 'goals': {'away': 2, 'home': 0}}","{'x': -69.0, 'y': 22.0}","[{'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Winner'}, {'player': {'id': 8477930, 'fullName': 'Pierre-Edouard Bellemare', 'link': '/api/v1/people/8477930'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
227,"{'event': 'Shot', 'eventCode': 'TBL472', 'eventTypeId': 'SHOT', 'description': 'Chad Ruhwedel Wrist Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 227, 'eventId': 472, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:44', 'periodTimeRemaining': '18:16', 'dateTime': '2021-10-13T01:38:18Z', 'goals': {'away': 2, 'home': 0}}","{'x': -42.0, 'y': 30.0}","[{'player': {'id': 8477244, 'fullName': 'Chad Ruhwedel', 'link': '/api/v1/people/8477244'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
228,"{'event': 'Stoppage', 'eventCode': 'TBL422', 'eventTypeId': 'STOP', 'description': 'Icing'}","{'eventIdx': 228, 'eventId': 422, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:48', 'periodTimeRemaining': '18:12', 'dateTime': '2021-10-13T01:38:22Z', 'goals': {'away': 2, 'home': 0}}",{},,
229,"{'event': 'Faceoff', 'eventCode': 'TBL473', 'eventTypeId': 'FACEOFF', 'description': 'Pierre-Edouard Bellemare faceoff won against Evan Rodrigues'}","{'eventIdx': 229, 'eventId': 473, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:48', 'periodTimeRemaining': '18:12', 'dateTime': '2021-10-13T01:38:46Z', 'goals': {'away': 2, 'home': 0}}","{'x': -69.0, 'y': 22.0}","[{'player': {'id': 8477930, 'fullName': 'Pierre-Edouard Bellemare', 'link': '/api/v1/people/8477930'}, 'playerType': 'Winner'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
230,"{'event': 'Shot', 'eventCode': 'TBL474', 'eventTypeId': 'SHOT', 'description': 'Mark Friedman Snap Shot saved by Andrei Vasilevskiy', 'secondaryType': 'Snap Shot'}","{'eventIdx': 230, 'eventId': 474, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:52', 'periodTimeRemaining': '18:08', 'dateTime': '2021-10-13T01:38:50Z', 'goals': {'away': 2, 'home': 0}}","{'x': -81.0, 'y': -2.0}","[{'player': {'id': 8478017, 'fullName': 'Mark Friedman', 'link': '/api/v1/people/8478017'}, 'playerType': 'Shooter'}, {'player': {'id': 8476883, 'fullName': 'Andrei Vasilevskiy', 'link': '/api/v1/people/8476883'}, 'playerType': 'Goalie'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
231,"{'event': 'Stoppage', 'eventCode': 'TBL423', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 231, 'eventId': 423, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:53', 'periodTimeRemaining': '18:07', 'dateTime': '2021-10-13T01:38:50Z', 'goals': {'away': 2, 'home': 0}}",{},,
232,"{'event': 'Faceoff', 'eventCode': 'TBL475', 'eventTypeId': 'FACEOFF', 'description': 'Brayden Point faceoff won against Evan Rodrigues'}","{'eventIdx': 232, 'eventId': 475, 'period': 3, 'periodType': 'REGULAR', 'ordinalNum': '3rd', 'periodTime': '01:53', 'periodTimeRemaining': '18:07', 'dateTime': '2021-10-13T01:39:22Z', 'goals': {'away': 2, 'home': 0}}","{'x': -69.0, 'y': -22.0}","[{'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Winner'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
