play_id,period,strength,period_time,remain_time,play_code,play_description,visit_player_on_ice,home_player_on_ice,player_one,player_two,player_three,player_four,date_time,coordinates,play_year,play_month,play_day,play_time,x_coord,y_coord
173,2,EV,10:32,9:28,BLOCK,"TBL #77 HEDMAN BLOCKED BY  PIT #10 O'CONNOR, Wrist, Def. Zone","{'C': '18', 'L': '10', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Drew O'Connor,Victor Hedman,,,2021-10-13T00:58:13Z,"{'x': -80.0, 'y': -2.0}",2021,10,12,20:58:13,-80.0,-2.0
174,2,,10:33,9:27,STOP,"PUCK IN NETTING,TV TIMEOUT","{'C': '18', 'L': '10', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",,,,,2021-10-13T00:58:14Z,{},2021,10,12,20:58:14,,
175,2,EV,10:33,9:27,FAC,TBL won Off. Zone - PIT #53 BLUEGER vs TBL #21 POINT,"{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Brayden Point,Teddy Blueger,,,2021-10-13T01:00:46Z,"{'x': -69.0, 'y': -22.0}",2021,10,12,21:00:46,-69.0,-22.0
176,2,EV,10:57,9:03,GIVE,"TBL GIVEAWAY - #98 SERGACHEV, Def. Zone","{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Mikhail Sergachev,,,,2021-10-13T01:01:10Z,"{'x': 79.0, 'y': 38.0}",2021,10,12,21:01:10,79.0,38.0
177,2,EV,11:06,8:54,BLOCK,"PIT #23 MCGINN BLOCKED BY  TBL #77 HEDMAN, Wrist, Def. Zone","{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Victor Hedman,Brock McGinn,,,2021-10-13T01:01:19Z,"{'x': 79.0, 'y': 0.0}",2021,10,12,21:01:19,79.0,0.0
178,2,EV,11:18,8:42,SHOT,"PIT ONGOAL - #23 MCGINN, Deflected, Off. Zone, 23 ft.","{'C': '53', 'L': '23', 'D1': '6', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '77', 'D2': '98', 'G': '88'}",Brock McGinn,Andrei Vasilevskiy,,,2021-10-13T01:01:31Z,"{'x': 66.0, 'y': -1.0}",2021,10,12,21:01:31,66.0,-1.0
179,2,EV,11:41,8:19,HIT,"PIT #6 MARINO HIT TBL #41 BELLEMARE, Def. Zone","{'C': '49', 'L': '10', 'D1': '6', 'D2': '28', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",John Marino,Pierre-Edouard Bellemare,,,2021-10-13T01:01:54Z,"{'x': -43.0, 'y': -39.0}",2021,10,12,21:01:54,-43.0,-39.0
180,2,EV,12:09,7:51,BLOCK,"TBL #41 BELLEMARE BLOCKED BY  PIT #11 BOYLE, Wrist, Def. Zone","{'C': '18', 'L': '10', 'D1': '6', 'D2': '28', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Brian Boyle,Pierre-Edouard Bellemare,,,2021-10-13T01:02:22Z,"{'x': -77.0, 'y': -17.0}",2021,10,12,21:02:22,-77.0,-17.0
181,2,EV,12:10,7:50,HIT,"PIT #11 BOYLE HIT TBL #41 BELLEMARE, Def. Zone","{'C': '18', 'L': '10', 'D1': '6', 'D2': '28', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Brian Boyle,Pierre-Edouard Bellemare,,,2021-10-13T01:02:23Z,"{'x': -93.0, 'y': -21.0}",2021,10,12,21:02:23,-93.0,-21.0
182,2,EV,12:23,7:37,HIT,"TBL #27 MCDONAGH HIT PIT #18 LAFFERTY, Def. Zone","{'C': '18', 'L': '10', 'D1': '2', 'D2': '52', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",Ryan McDonagh,Sam Lafferty,,,2021-10-13T01:02:36Z,"{'x': 98.0, 'y': 15.0}",2021,10,12,21:02:36,98.0,15.0
