,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
23,24,1,EV,3:07,16:53,SHOT,"TBL ONGOAL - #18 PALAT, Wrist, Off. Zone, 26 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
24,25,1,EV,3:11,16:49,BLOCK,"TBL #81 CERNAK BLOCKED BY  PIT #43 HEINEN, Wrist, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
25,26,1,,3:18,16:42,STOP,ICING,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
26,27,1,EV,3:18,16:42,FAC,PIT won Off. Zone - PIT #9 RODRIGUES vs TBL #21 POINT,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
27,28,1,EV,3:33,16:27,BLOCK,"PIT #9 RODRIGUES BLOCKED BY  TBL #27 MCDONAGH, Wrist, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
28,29,1,EV,4:09,15:51,HIT,"PIT #9 RODRIGUES HIT TBL #27 MCDONAGH, Off. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
29,30,1,,4:28,15:32,STOP,ICING,"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'L': '41', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
30,31,1,EV,4:28,15:32,FAC,PIT won Off. Zone - PIT #53 BLUEGER vs TBL #21 POINT,"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
31,32,1,EV,4:32,15:28,SHOT,"PIT ONGOAL - #52 FRIEDMAN, Wrist, Off. Zone, 42 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
32,33,1,,4:32,15:28,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '21', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
33,34,1,EV,4:32,15:28,FAC,PIT won Off. Zone - PIT #53 BLUEGER vs TBL #91 STAMKOS,"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
34,35,1,EV,4:39,15:21,SHOT,"PIT ONGOAL - #49 SIMON, Slap, Off. Zone, 29 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
35,36,1,,4:39,15:21,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
36,37,1,EV,4:39,15:21,FAC,PIT won Off. Zone - PIT #77 CARTER vs TBL #91 STAMKOS,"{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
37,38,1,EV,4:54,15:06,HIT,"TBL #91 STAMKOS HIT PIT #52 FRIEDMAN, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
38,39,1,EV,5:11,14:49,SHOT,"TBL ONGOAL - #77 HEDMAN, Wrist, Off. Zone, 39 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
39,40,1,EV,5:18,14:42,BLOCK,"TBL #44 RUTTA BLOCKED BY  PIT #52 FRIEDMAN, Wrist, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
40,41,1,EV,5:18,14:42,SHOT,"PIT ONGOAL - #17 RUST, Backhand, Off. Zone, 16 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
41,42,1,,5:22,14:38,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'R': '16', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
42,43,1,EV,5:22,14:38,FAC,TBL won Def. Zone - PIT #11 BOYLE vs TBL #41 BELLEMARE,"{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
43,44,1,EV,5:33,14:27,TAKE,"PIT TAKEAWAY - #8 DUMOULIN, Neu. Zone","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
44,45,1,EV,5:39,14:21,HIT,"TBL #24 BOGOSIAN HIT PIT #10 O'CONNOR, Def. Zone","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'L': '41', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
45,46,1,EV,5:45,14:15,SHOT,"PIT ONGOAL - #10 O'CONNOR, Wrist, Off. Zone, 20 ft.","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
46,47,1,EV,5:53,14:07,BLOCK,"PIT #58 LETANG BLOCKED BY  TBL #79 COLTON, Wrist, Def. Zone","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
47,48,1,EV,6:04,13:56,SHOT,"PIT ONGOAL - #11 BOYLE, Wrist, Off. Zone, 28 ft.","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'R': '10', 'L': '41', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
48,49,1,,6:04,13:56,STOP,"GOALIE STOPPED (AFTER SOG),TV TIMEOUT","{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'R': '10', 'L': '41', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
49,50,1,EV,6:04,13:56,FAC,PIT won Off. Zone - PIT #9 RODRIGUES vs TBL #79 COLTON,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
50,51,1,EV,6:29,13:31,HIT,"TBL #79 COLTON HIT PIT #9 RODRIGUES, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
51,52,1,EV,6:47,13:13,SHOT,"PIT ONGOAL - #42 KAPANEN, Wrist, Off. Zone, 31 ft.","{'C': '9', 'R': '42', 'L': '16', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
52,53,1,,6:59,13:01,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
53,54,1,EV,6:59,13:01,FAC,PIT won Off. Zone - PIT #77 CARTER vs TBL #71 CIRELLI,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
54,55,1,EV,7:20,12:40,SHOT,"PIT ONGOAL - #58 LETANG, Tip-In, Off. Zone, 17 ft.","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
55,56,1,,7:37,12:23,STOP,ICING,"{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
56,57,1,EV,7:37,12:23,FAC,PIT won Off. Zone - PIT #49 SIMON vs TBL #91 STAMKOS,"{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
57,58,1,EV,7:50,12:10,HIT,"PIT #52 FRIEDMAN HIT TBL #81 CERNAK, Off. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
58,59,1,EV,8:00,12:00,HIT,"TBL #17 KILLORN HIT PIT #2 RUHWEDEL, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '91', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
59,60,1,EV,8:10,11:50,BLOCK,"PIT #2 RUHWEDEL BLOCKED BY  TBL #27 MCDONAGH, Slap, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '71', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
60,61,1,EV,8:18,11:42,MISS,"PIT #2 RUHWEDEL, Snap, Wide of Net, Off. Zone, 66 ft.","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '71', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
61,62,1,EV,8:20,11:40,HIT,"TBL #71 CIRELLI HIT PIT #52 FRIEDMAN, Def. Zone","{'C': '53', 'L': '23', 'D1': '2', 'D2': '52', 'G': '35'}","{'C': '71', 'R': '86', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,,
62,63,1,EV,8:47,11:13,HIT,"TBL #98 SERGACHEV HIT PIT #42 KAPANEN, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
63,64,1,EV,8:58,11:02,HIT,"PIT #9 RODRIGUES HIT TBL #21 POINT, Def. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
64,65,1,EV,9:12,10:48,HIT,"PIT #6 MARINO HIT TBL #21 POINT, Def. Zone","{'C': '18', 'L': '10', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '21', 'R': '86', 'L': '14', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
65,66,1,,9:33,10:27,STOP,ICING,"{'C': '18', 'L': '10', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '16', 'L': '14', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,,
66,67,1,EV,9:33,10:27,FAC,PIT won Off. Zone - PIT #77 CARTER vs TBL #21 POINT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '16', 'L': '14', 'D1': '24', 'D2': '77', 'G': '88'}",,,,,,
67,68,1,EV,9:40,10:20,HIT,"TBL #24 BOGOSIAN HIT PIT #43 HEINEN, Def. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '16', 'L': '14', 'D1': '24', 'D2': '77', 'G': '88'}",,,,,,
