nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town,,9285,6574,4358,9028,6295,4361,5.82
502,Aldgate,,11044,2604,2088,11393,2993,2582,6.24
503,Aldgate East,,13281,7268,6543,13066,6008,6959,8.15
505,Alperton,,4725,3398,2419,4848,3513,2512,3.07
506,Amersham,,3613,1720,1056,3769,1815,986,2.17
507,Angel,,27678,23008,13437,27120,23425,12764,17.82
508,Archway,,13553,9322,5907,12816,7668,5652,8.24
509,Arnos Grove,,7008,4916,2992,6554,4282,2782,4.25
510,Arsenal,,5093,4360,2620,4581,4537,2512,3.21
511,Baker Street,,39226,27177,18801,38436,26209,18162,24.61
512,Balham,,18298,13478,8284,18187,12628,8187,11.56
513,Bank & Monument,,77439,15374,9132,80820,17336,9231,42.82
501,Barbican,,17711,6415,4050,17515,6138,3849,10.03
514,Barking,,19864,14422,9528,16117,13864,9159,11.68
515,Barkingside,,1657,708,417,1610,735,450,0.95
516,Barons Court,,11904,6074,4108,10753,4935,3920,6.78
517,Bayswater,,8437,9106,7484,8126,9222,6737,5.98
518,Becontree,,4215,3240,1437,3910,3143,1275,2.55
519,Belsize Park,,10438,6039,4023,9696,5304,3791,6.14
787,Bermondsey,,11490,6277,4245,10492,5278,4102,6.65
520,Bethnal Green,,23592,17905,11422,20823,15424,10645,14.27
521,Blackfriars,,24068,8068,5127,22629,6529,4441,13.14
522,Blackhorse Road,,9942,7551,4921,9203,6356,4001,6.09
524,Bond Street,,56833,46783,25941,56028,45735,25613,36.41
525,Borough,,6568,4091,2799,6727,4368,2917,4.14
526,Boston Manor,,3181,2252,1453,3121,1957,1440,1.98
527,Bounds Green,,9553,6766,4420,8694,5720,4254,5.78
528,Bow Road,,8425,5944,3979,8305,5352,4426,5.32
529,Brent Cross,,3506,2394,1840,3347,2245,1818,2.19
778,Brixton,,35213,28513,14240,30640,20750,14666,20.93
530,Bromley-by-Bow,,4456,3146,2055,4287,2629,1903,2.75
531,Buckhurst Hill,,2865,1457,679,2586,1242,636,1.60
532,Burnt Oak,,5894,3920,2633,5219,3662,2579,3.51
534,Caledonian Road,,8242,5770,3749,7354,4809,3648,4.93
535,Camden Town,,25788,34218,15386,27385,38233,25682,19.64
788,Canada Water,,17628,13945,9237,17718,13021,9137,11.43
852,Canary Wharf,,75917,26431,15490,77732,26738,16233,43.51
884,Canning Town,,12489,7663,8995,11984,7069,8377,7.98
536,Cannon Street,,9271,2023,0,7969,1415,0,4.54
537,Canons Park,,2648,1352,759,2635,1244,749,1.56
539,Chalfont & Latimer  ,,2106,850,512,2036,794,462,1.19
540,Chalk Farm,,7897,7100,5483,6551,5506,3722,4.85
541,Chancery Lane,,27117,6982,3476,29043,7564,3654,15.39
718,Charing Cross,,35240,31857,20886,35664,29147,17792,23.39
543,Chesham,,823,439,234,668,431,229,0.45
544,Chigwell,,792,365,161,598,319,160,0.41
545,Chiswick Park,,3282,1983,1167,3443,1909,1276,2.05
546,Chorleywood,,1563,706,326,1417,683,313,0.86
547,Clapham Common,,13012,11736,7335,14166,13071,7633,9.05
548,Clapham North,,7828,8245,5102,9561,7936,5208,5.85
549,Clapham South,,12320,8454,5326,11953,7497,5328,7.60
550,Cockfosters,,2798,2166,1278,2705,2113,1265,1.76
551,Colindale,,6830,4407,2990,6370,3706,2749,4.10
552,Colliers Wood,,8906,6499,4302,8262,5818,4134,5.48
553,Covent Garden,,21315,27893,16759,25206,40457,20336,17.51
554,Croxley,,1309,550,254,1319,506,245,0.75
555,Dagenham East,,3643,2150,1311,3410,1979,1159,2.14
556,Dagenham Heathway,,7038,3689,1965,6626,3652,2155,4.08
557,Debden,,3343,1184,537,2941,975,477,1.76
558,Dollis Hill,,6325,4466,3540,4644,4223,3770,3.66
560,Ealing Broadway,,28504,19715,13202,28119,18472,13131,17.86
561,Ealing Common,,5305,3893,2562,5338,3841,2549,3.40
562,Earl's Court,,31024,28334,21459,28531,27336,20296,20.43
563,East Acton,,6216,4391,2956,6169,3846,2746,3.90
565,East Finchley,,9942,6369,3855,9365,5509,3672,5.95
566,East Ham,,19906,15123,10899,19365,13527,10207,12.67
567,East Putney,,9549,7142,4479,8589,6409,4221,5.81
564,Eastcote,,4185,2443,1278,3959,2244,1297,2.46
568,Edgware,,5968,3999,2858,5817,3700,2804,3.72
774,Edgware Road,,5939,4219,2496,5870,4017,2356,3.70
569,Edgware Road,,9841,6182,4151,9726,5789,3757,6.04
570,Elephant & Castle,,30557,19762,13661,28316,19191,13728,18.54
571,Elm Park,,4252,2009,952,4033,1607,928,2.40
542,Embankment,,30963,25678,16900,31798,28971,19148,20.85
572,Epping,,4363,2540,1458,3807,2271,1309,2.48
574,Euston,,46371,26524,19523,45203,26643,17632,28.13
575,Euston Square,,18113,6331,4537,18838,6828,4817,10.58
576,Fairlop,,1410,643,338,1341,638,363,0.80
577,Farringdon,,35236,8290,4416,33820,8569,3857,18.84
578,Finchley Central,,8303,5957,3144,7949,5031,3141,5.05
579,Finchley Road,,16033,12141,8745,15509,10998,8112,10.18
580,Finsbury Park,,43906,36466,20090,37631,28371,18870,26.30
581,Fulham Broadway,,15200,11367,6890,15132,11111,6521,9.63
582,Gants Hill,,8043,4344,2657,7537,4130,2601,4.69
583,Gloucester Road,,21149,15439,11811,20636,15421,11021,13.52
584,Golders Green,,12010,9082,6801,11600,8332,6593,7.67
585,Goldhawk Road,,2829,2136,1193,2763,1861,1251,1.77
586,Goodge Street,,14451,6785,3493,14714,6659,3553,8.49
587,Grange Hill,,842,368,184,738,312,174,0.46
588,Great Portland Street,,12146,5040,3520,11835,4767,2949,6.96
590,Green Park,,45738,24194,13565,52685,31758,17083,29.62
589,Greenford,,6125,3918,2335,5237,3571,2234,3.53
591,Gunnersbury,,6612,2728,1606,6099,2452,1542,3.67
592,Hainault,,4198,1992,1104,3896,1855,1129,2.38
593,Hammersmith (Dis),,47908,32994,22031,44259,28427,19876,28.98
773,Hammersmith (H&C),,14606,10414,6674,14345,10171,6527,9.17
594,Hampstead,,6710,5503,3900,7001,5638,4326,4.53
595,Hanger Lane,,5062,2928,1965,4481,2630,1748,2.92
596,Harlesden,,3842,2362,1522,3297,2241,1819,2.24
597,Harrow & Wealdstone,,6609,5074,2747,6788,5822,3190,4.31
598,Harrow-on-the-Hill,,14382,10227,6255,15584,9743,6280,9.36
779,Hatton Cross,,4364,2939,2370,4222,2883,2196,2.74
781,Heathrow Terminal 4,,1494,1172,1618,1810,1518,1730,1.17
780,Heathrow Terminals 123,,11449,11404,12045,10699,9768,11496,8.09
783,Heathrow Terminal 5,,4759,3800,5022,3926,3549,4455,3.14
601,Hendon Central,,9998,5938,4114,9307,5021,3695,5.91
602,High Barnet,,4506,3158,1688,4246,2907,1692,2.73
605,High Street Kensington,,19333,16818,11391,20653,18006,11272,13.26
603,Highbury & Islington,,22583,16724,7460,21213,16317,8267,13.73
604,Highgate,,7915,5571,3170,7610,4928,3225,4.85
606,Hillingdon,,2335,1511,769,2212,1366,732,1.39
607,Holborn,,48451,25349,14283,53115,28523,14302,30.18
608,Holland Park,,6485,4101,2662,6004,3999,2433,3.88
609,Holloway Road,,12375,8526,4820,12249,8278,4828,7.67
610,Hornchurch,,3376,1371,755,3457,1336,731,1.96
611,Hounslow Central,,5932,3888,2799,5562,3740,2711,3.63
612,Hounslow East,,6769,5407,3895,5011,3783,2914,3.86
613,Hounslow West,,4750,3329,2467,4459,3107,2391,2.95
614,Hyde Park Corner,,8910,9287,6887,9477,9255,6768,6.42
615,Ickenham,,1749,929,467,1723,888,479,1.03
616,Kennington,,6474,5078,3371,6449,4675,3486,4.18
617,Kensal Green,,4424,3086,2075,3878,2652,1858,2.63
618,Kensington (Olympia),,1270,1041,5278,1144,894,4968,1.32
