nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town, ,9179,6562,4359,8892,6092,4438,5.75
502,Aldgate   , ,12509,2826,2266,12060,3713,3187,6.88
503,Aldgate East, ,18861,13105,10971,17606,10942,9140,11.66
505,Alperton  , ,4530,3301,2285,4715,3316,2356,2.96
506,Amersham  , ,3489,1664,1111,3344,1777,1151,2.04
507,Angel     , ,30213,22180,12718,29507,22772,12438,18.93
508,Archway   , ,13421,9195,6105,12618,7754,5764,8.17
509,Arnos Grove , ,7177,5612,3840,6641,4908,3550,4.48
510,Arsenal   , ,5020,4244,2991,4271,3436,2799,3.09
511,Baker Street, ,45202,30329,22818,43402,28753,21401,28.10
512,Balham    , ,19151,14303,8662,18830,13090,8587,12.05
513,Bank & Monument                    ,B,89790,20298,10958,90437,19094,10041,48.88
501,Barbican  , ,18275,6146,4598,18399,6252,4575,10.46
514,Barking   , ,24349,16798,11543,23894,15472,11178,15.22
515,Barkingside , ,2160,1069,632,2016,1036,644,1.24
516,Barons Court, ,12324,7045,4661,11260,5551,4385,7.16
517,Bayswater , ,7732,8503,7209,7368,8156,6471,5.49
518,Becontree , ,5184,3077,1818,4804,2770,1722,3.04
519,Belsize Park, ,9981,5646,4132,9058,5080,3802,5.84
787,Bermondsey, ,14045,9873,6807,13064,9039,6710,8.64
520,Bethnal Green                      , ,24458,19702,12631,22269,18367,12299,15.27
521,Blackfriars ,N,21281,8992,7315,20202,7165,5441,12.09
522,Blackhorse Road                    , ,12561,9860,6867,11791,8558,6345,7.90
524,Bond Street , ,61848,54113,29820,59875,51162,27434,39.65
525,Borough   , ,7806,4956,3420,7818,5258,3420,4.89
526,Boston Manor, ,3282,2370,1626,3271,2064,1579,2.08
527,Bounds Green, ,9903,7869,5238,9019,6853,5084,6.16
528,Bow Road  , ,9035,6596,4572,8396,5845,4662,5.60
529,Brent Cross , ,3506,2326,1731,3244,2142,1580,2.14
778,Brixton   , ,42681,34507,23249,40285,33050,22829,27.22
530,Bromley-by-Bow                     , ,5199,3583,2523,4977,3090,2370,3.21
