nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town,,8601,5816,4231,8595,5803,4324,5.46
502,Aldgate,,10941,2349,1540,10639,3178,2308,5.97
503,Aldgate East,,14818,8816,7393,14175,7990,6823,9.05
505,Alperton,,4546,3340,2461,4916,3507,2530,3.04
506,Amersham,,3496,1567,841,3677,1801,825,2.09
507,Angel,,27759,23368,13769,27743,23497,12892,18.05
508,Archway,,13380,8945,5692,12501,7504,5244,8.05
509,Arnos Grove ,,6939,5144,3109,6679,4602,2986,4.31
510,Arsenal,,4919,4288,2662,4273,3793,2524,3.05
511,Baker Street,,40126,30984,21045,39239,29422,19908,25.64
512,Balham,,17843,12943,7916,18650,12904,8573,11.55
513,Bank & Monument,,72941,18484,10002,75435,18969,9807,40.66
501,Barbican,,16096,5494,3866,16457,5424,3890,9.26
514,Barking,,20857,13446,8434,21372,13245,8073,13.05
515,Barkingside ,,1677,724,433,1664,763,459,0.98
516,Barons Court,,10983,5950,3968,10164,4665,3610,6.35
517,Bayswater,,8910,9672,8260,8935,9397,7557,6.44
518,Becontree,,4098,2194,1528,3900,2163,1367,2.42
519,Belsize Park,,10047,6327,4496,9441,5907,4216,6.08
787,Bermondsey,,11173,5283,3679,10331,4572,3526,6.38
520,Bethnal Green,,24217,18617,12307,22432,17447,11974,15.11
521,Blackfriars,,0,0,0,0,0,0,0.00
522,Blackhorse Road,,9424,6236,4434,8654,5448,4007,5.68
524,Bond Street,,56286,48255,25856,58152,46092,24851,36.85
525,Borough,,7557,5132,3511,7819,5661,3575,4.87
526,Boston Manor,,3126,2067,1428,3037,1915,1426,1.93
527,Bounds Green,,9020,6596,4332,8378,5794,4283,5.55
528,Bow Road,,8157,5043,3562,8163,4839,3915,5.08
529,Brent Cross,,3358,2503,1847,3259,2366,1795,2.14
778,Brixton,,35149,22749,14315,31124,23061,15013,20.88
530,Bromley-by-Bow,,3963,2506,1730,3790,2403,1484,2.41
531,Buckhurst Hill,,2935,1618,811,2867,1464,773,1.72
532,Burnt Oak,,5838,4389,2840,5512,4080,2785,3.64
534,Caledonian Road,,8338,5668,3881,7703,5199,3908,5.08
535,Camden Town,,25101,33757,16788,27302,38870,27944,19.67
788,Canada Water,,16818,11236,8328,16724,10887,8187,10.61
852,Canary Wharf,,70011,18936,12433,72861,17833,13971,39.62
884,Canning Town,,12336,7606,8102,11870,7444,7630,7.83
536,Cannon Street,,7998,1957,0,6865,1354,0,3.93
537,Canons Park,,2780,1369,777,2815,1315,768,1.65
539,Chalfont & Latimer,,2010,759,455,1864,698,425,1.11
540,Chalk Farm,,8448,8816,6830,7038,6741,4464,5.39
541,Chancery Lane,,25554,5716,3066,29036,6138,3054,14.79
718,Charing Cross,,34079,33445,21113,34144,29300,18189,22.84
543,Chesham,,826,354,170,638,347,179,0.43
544,Chigwell,,773,311,147,602,302,144,0.40
545,Chiswick Park,,3142,1730,1069,3325,1765,1098,1.95
546,Chorleywood,,1593,592,287,1435,569,273,0.86
547,Clapham Common,,12771,11200,7150,14364,12464,7740,8.97
548,Clapham North,,7582,8000,4883,8859,7931,5000,5.57
549,Clapham South,,12210,8279,5338,11784,7701,5382,7.53
550,Cockfosters,,2639,2094,1256,2549,2023,1253,1.67
551,Colindale,,6626,4632,3210,6295,4059,3085,4.09
552,Colliers Wood,,8623,6252,4133,7970,5589,4025,5.30
553,Covent Garden,,23127,27867,16967,28332,39532,20087,18.71
554,Croxley,,1362,530,239,1388,525,232,0.78
555,Dagenham East,,3665,2109,1314,3473,1866,1216,2.16
556,Dagenham Heathway,,7153,3775,2287,7025,3770,2117,4.24
557,Debden ,,3512,1247,596,3220,1149,560,1.90
558,Dollis Hill ,,5697,4312,3378,3910,4266,3675,3.29
560,Ealing Broadway,,26121,18070,11844,26708,17716,11794,16.62
561,Ealing Common,,4938,3564,2397,5093,3516,2486,3.19
562,Earl's Court,,29187,27549,22300,27460,26775,20691,19.69
563,East Acton,,5566,3708,2578,5697,3309,2505,3.51
565,East Finchley,,9723,6234,3848,9176,5417,3625,5.83
566,East Ham,,20199,13410,10121,19829,12977,9905,12.68
567,East Putney,,9563,6522,4188,8203,5635,3976,5.61
564,Eastcote,,4137,2224,1152,3970,2056,1195,2.41
568,Edgware,,6487,5851,3865,6439,5728,3970,4.33
774,Edgware Road (Bak),,5796,4774,2980,5861,4748,2848,3.79
569,Edgware Road (Cir),,10831,6668,4656,11194,6743,4338,6.80
570,Elephant & Castle,,30952,19523,13533,27485,18655,12830,18.33
571,Elm Park  ,,4167,1791,1038,4077,1744,1000,2.39
542,Embankment,,28653,25528,15903,30674,30019,16838,19.83
572,Epping ,,4774,2993,1781,4199,2851,1716,2.78
574,Euston ,,47997,35126,28111,47852,35554,26102,31.12
575,Euston Square  ,,18505,6450,4653,19117,6182,4398,10.71
576,Fairlop,,1439,722,404,1346,699,415,0.83
577,Farringdon,,29092,6741,3987,28355,6890,3335,15.67
578,Finchley Central ,,8295,6000,3125,8137,5182,3325,5.12
579,Finchley Road  ,,14380,12387,7850,13955,11249,7586,9.31
580,Finsbury Park  ,,36503,34296,19561,33641,27575,18571,23.21
581,Fulham Broadway,,15048,11080,7177,15340,10992,7056,9.68
582,Gants Hill,,8537,4494,4019,8491,4545,4114,5.26
583,Gloucester Road,,20990,16167,12560,20932,16606,11573,13.73
584,Golders Green,,11997,9641,7359,11930,9180,7308,7.90
585,Goldhawk Road  ,,2513,1795,1025,2517,1705,1075,1.58
586,Goodge Street  ,,14081,7816,4640,14843,8353,4514,8.70
587,Grange Hill ,,789,366,191,726,327,184,0.44
588,Great Portland Street ,,12106,4317,3046,12118,3872,2547,6.88
590,Green Park,,43447,19721,13068,51880,26904,16022,28.26
589,Greenford ,,5655,3752,2301,5585,3619,2233,3.49
591,Gunnersbury ,,7050,2863,1505,6285,2526,1410,3.83
592,Hainault  ,,4362,2129,1323,4103,2123,1433,2.53
593,Hammersmith (Dis),,44759,30282,20571,42331,28176,19449,27.43
773,Hammersmith (H&C),,13672,10069,6375,13248,10072,6199,8.60
594,Hampstead ,,6730,5932,4435,7219,6443,5042,4.73
595,Hanger Lane ,,5299,3265,2258,4859,3004,2063,3.15
596,Harlesden ,,4046,2116,1160,3375,2074,1123,2.23
597,Harrow & Wealdstone ,,6339,5142,2500,5845,4846,2431,3.89
598,Harrow-on-the-Hill  ,,13638,8172,5015,14599,8109,5164,8.59
779,Hatton Cross,,4329,2983,2188,4184,2958,2090,2.72
781,Heathrow Terminal 4,,2739,2179,2498,2363,2120,1797,1.77
780,Heathrow Terminals 123,,11253,12521,13139,11089,10762,10689,8.27
783,Heathrow Terminal 5,,4404,3951,4731,3973,3241,3555,2.98
601,Hendon Central ,,10180,6037,4128,9663,5324,3755,6.08
602,High Barnet ,,4529,2934,1574,4321,2835,1680,2.73
605,High Street Kensington,,18678,14189,9699,20035,16031,9898,12.52
603,Highbury & Islington,,22786,17126,8269,22430,18488,9281,14.33
604,Highgate  ,,7810,5909,3494,7727,5789,3768,4.97
606,Hillingdon,,2228,1370,694,2159,1310,730,1.33
607,Holborn,,48019,24350,13608,53654,28406,14048,30.10
608,Holland Park,,5892,3477,2303,5510,3308,2228,3.50
609,Holloway Road  ,,12238,8492,4749,12429,8436,4595,7.67
610,Hornchurch,,3434,1060,504,3580,1085,555,1.95
611,Hounslow Central ,,6145,3955,2908,5946,3841,2758,3.80
612,Hounslow East  ,,6508,4588,3454,6081,4037,3133,4.02
