nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town,  ,8669,5912,4184,8403,5877,4224,5.43
502,Aldgate,  ,10629,2519,2314,10825,3398,2618,6.03
503,Aldgate East  ,  ,15098,9344,7532,13567,7922,6449,8.97
505,Alperton  ,  ,4512,3222,2560,4624,3186,2497,2.94
506,Amersham  ,  ,3455,1771,1060,3610,1945,1122,2.11
507,Angel  ,  ,27684,22265,13938,27301,22555,12830,17.82
508,Archway,  ,13279,9217,5875,12453,7582,5477,8.05
509,Arnos Grove,  ,6605,5202,3004,6229,4579,2766,4.10
510,Arsenal,  ,4742,4306,2886,4084,3710,2665,2.98
511,Baker Street  ,  ,43163,27008,19181,41273,25793,17554,26.28
512,Balham ,  ,17506,12636,7474,16991,11724,7826,10.90
513,Bank & Monument  ,  ,80779,16307,9868,79863,16213,9832,43.50
501,Barbican  ,  ,15976,5013,3184,15514,5135,3230,8.87
514,Barking,  ,22389,14391,9341,21963,13030,8845,13.72
515,Barkingside,  ,1853,837,533,1815,877,535,1.08
516,Barons Court  ,  ,11264,6299,4228,10109,4796,3769,6.46
517,Bayswater ,  ,8390,7577,5898,7855,7016,5125,5.52
518,Becontree ,  ,4225,2434,1483,4015,2185,1374,2.49
519,Belsize Park  ,  ,10287,6164,4637,9616,5520,4273,6.17
787,Bermondsey,  ,11233,6496,4330,10350,5709,4283,6.60
520,Bethnal Green ,  ,24142,19338,13602,21680,17299,12865,15.06
521,Blackfriars,  ,0,0,0,0,0,0,0.00
522,Blackhorse Road  ,  ,10107,7451,4820,9073,6302,4232,6.10
524,Bond Street,  ,59664,48574,27108,54609,44900,25382,36.87
525,Borough,  ,8090,5236,3561,8138,5619,3526,5.09
526,Boston Manor  ,  ,2997,2065,1401,2968,1778,1369,1.87
527,Bounds Green  ,  ,8603,6515,4225,7928,5612,4067,5.30
528,Bow Road  ,  ,8486,5528,3662,8517,5227,3828,5.30
529,Brent Cross,  ,3390,2485,1987,3198,2227,1843,2.14
778,Brixton,  ,35978,25057,16409,30490,23638,16274,21.28
530,Bromley-by-Bow,  ,4356,2508,1736,4204,2353,1691,2.62
531,Buckhurst Hill,  ,3061,1774,888,2950,1522,840,1.79
532,Burnt Oak ,  ,5981,4352,2891,5537,3976,2752,3.68
534,Caledonian Road  ,  ,8453,5960,3997,7599,4962,3835,5.09
535,Camden Town,  ,27975,35842,16983,28407,40883,28913,20.96
788,Canada Water  ,  ,13818,11110,7797,13733,10470,7748,9.01
852,Canary Wharf  ,  ,73239,22962,15284,74199,22969,15836,41.53
884,Canning Town  ,  ,13108,9746,7542,12214,8552,7129,8.22
536,Cannon Street ,  ,8259,0,0,7343,0,0,3.95
537,Canons Park,  ,2834,1153,743,2733,1113,733,1.61
539,Chalfont & Latimer  ,  ,1971,847,481,1808,782,446,1.10
540,Chalk Farm,  ,8349,7967,6708,6916,6176,4409,5.25
541,Chancery Lane ,  ,27308,6054,3255,29121,6050,3123,15.28
718,Charing Cross ,  ,33213,30008,19354,31994,25814,14453,21.39
543,Chesham,  ,914,393,182,682,355,180,0.46
544,Chigwell  ,  ,859,318,156,685,292,156,0.44
545,Chiswick Park ,  ,3068,1740,1081,3327,1696,1110,1.93
546,Chorleywood,  ,1588,584,316,1394,563,294,0.85
547,Clapham Common,  ,13087,11101,7039,14220,12240,7365,8.97
548,Clapham North ,  ,7702,7844,4834,9183,7747,4858,5.65
549,Clapham South ,  ,12329,8286,5324,11589,7237,5226,7.48
550,Cockfosters,  ,2627,2349,1187,2494,2154,1178,1.67
551,Colindale ,  ,6573,4489,3138,5874,3843,2831,3.93
552,Colliers Wood ,  ,9011,6817,4674,8280,5980,4193,5.56
553,Covent Garden ,  ,25033,28040,19115,28677,40940,22005,19.60
554,Croxley,  ,1388,506,214,1400,470,210,0.78
555,Dagenham East ,  ,3646,2301,1290,3295,1941,1046,2.11
556,Dagenham Heathway,  ,7205,4120,2280,6779,3705,2122,4.20
557,Debden ,  ,3761,1338,704,3394,1220,632,2.02
558,Dollis Hill,  ,5369,2933,2219,4472,2245,1879,3.00
560,Ealing Broadway  ,  ,27157,17784,12145,25498,16401,11811,16.51
561,Ealing Common ,  ,4972,3762,2553,5020,3432,2533,3.20
562,Earl's Court  ,  ,31375,29278,22910,29964,29487,21674,21.21
563,East Acton,  ,5430,3679,2591,5418,3311,2532,3.41
565,East Finchley ,  ,10532,6493,4025,9812,5490,3801,6.23
566,East Ham  ,  ,20933,15228,10378,20217,13486,10200,13.12
567,East Putney,  ,8267,6030,3848,7250,4950,3403,4.92
564,Eastcote  ,  ,4090,2070,1040,3889,1900,1035,2.35
568,Edgware,  ,6762,5622,3945,6566,5208,3840,4.39
774,Edgware Road (Bak)  ,  ,6170,4358,2899,6163,4332,2545,3.89
569,Edgware Road (Cir)  ,  ,9850,5463,3710,9499,5447,3465,5.89
570,Elephant & Castle,  ,30352,19114,13409,27922,18473,12494,18.23
571,Elm Park  ,  ,4114,1906,945,3928,1739,916,2.33
542,Embankment,  ,31041,24433,14607,31296,26334,15938,20.21
572,Epping ,  ,5051,3215,1823,4194,2965,1630,2.86
574,Euston ,  ,49758,37388,33009,52443,39077,30397,33.57
575,Euston Square ,  ,17464,5097,3403,18357,5537,3633,10.03
576,Fairlop,  ,1446,746,430,1390,721,415,0.84
577,Farringdon,  ,32789,6263,3319,29696,6181,2725,16.81
578,Finchley Central ,  ,8663,6262,3314,8402,5331,3333,5.31
579,Finchley Road ,  ,14593,9314,6431,13816,8387,6088,8.85
580,Finsbury Park ,  ,37329,34761,19878,33682,27361,18515,23.46
581,Fulham Broadway  ,  ,14720,10994,6716,14652,9996,6489,9.30
582,Gants Hill,  ,8534,4762,3186,8099,4551,3119,5.06
583,Gloucester Road  ,  ,22729,17056,13067,21791,16513,11941,14.48
584,Golders Green ,  ,12476,9584,7409,11897,8566,7135,7.97
585,Goldhawk Road ,  ,2528,1477,804,2439,1258,772,1.49
586,Goodge Street ,  ,15702,7001,3775,15428,7023,3478,9.03
587,Grange Hill,  ,912,387,213,779,314,199,0.49
588,Great Portland Street  ,  ,12510,3815,2861,11713,3272,2143,6.79
590,Green Park,  ,45465,25507,16562,50362,31636,19878,29.37
589,Greenford ,  ,6018,4070,2434,5780,3667,2308,3.67
591,Gunnersbury,  ,7242,2917,1590,6499,2426,1430,3.93
592,Hainault  ,  ,4588,2403,1515,4399,2259,1516,2.69
593,Hammersmith (Dis),  ,45245,31332,20771,43066,28868,20076,27.88
773,Hammersmith (H&C),  ,14578,9692,6289,13234,8801,5216,8.68
594,Hampstead ,  ,6607,5605,4276,6792,5705,4676,4.51
595,Hanger Lane,  ,5428,3479,2345,4954,3168,2094,3.23
596,Harlesden ,  ,3401,1984,1153,3374,1876,1102,2.05
597,Harrow & Wealdstone ,  ,7162,4864,2558,6686,4411,2414,4.28
598,Harrow-on-the-Hill  ,  ,13565,8470,5329,14142,8306,4975,8.49
779,Hatton Cross  ,  ,4434,3176,2488,4246,2984,2339,2.80
780,Heathrow Terminals 123,  ,11259,12410,12514,10182,10384,10292,7.96
781,Heathrow Terminal 4,  ,2985,3367,3601,2761,2812,2620,2.14
783,Heathrow Terminal 5,  ,4640,4372,5265,4066,3531,3724,3.14
601,Hendon Central,  ,10592,6375,4476,9785,5333,3920,6.26
602,High Barnet,  ,4814,3142,1748,4450,2848,1705,2.86
605,High Street Kensington ,  ,18663,13899,9214,18954,14032,8503,12.01
603,Highbury & Islington,  ,21861,17669,9066,21422,18377,9764,13.94
604,Highgate  ,  ,8197,5808,3638,7594,5085,3537,4.98
606,Hillingdon,  ,2217,1378,691,2066,1244,649,1.30
607,Holborn,  ,51368,25368,14521,54459,28103,14435,31.26
608,Holland Park  ,  ,5573,3689,2466,5228,3463,2310,3.39
609,Holloway Road ,  ,12470,8406,4484,12440,8621,4258,7.70
610,Hornchurch,  ,3272,1609,692,3354,1720,709,1.93
611,Hounslow Central ,  ,6375,4162,3187,6081,3982,3003,3.94
612,Hounslow East ,  ,6547,4756,3579,6611,4506,3443,4.22
613,Hounslow West ,  ,5098,3786,2931,4687,3566,2788,3.20
614,Hyde Park Corner ,  ,7911,8000,7297,8565,8294,7109,5.87
615,Ickenham  ,  ,1661,793,355,1648,757,362,0.96
616,Kennington,  ,6830,5512,3537,6422,5022,3521,4.32
617,Kensal Green  ,  ,3949,2933,1866,3317,2384,1700,2.33
618,Kensington (Olympia),  ,1239,995,5222,1108,863,4879,1.29
619,Kentish Town  ,  ,12147,8310,5217,11726,7542,4595,7.44
620,Kenton ,  ,2967,2063,1183,2877,1958,1144,1.82
621,Kew Gardens,  ,5308,4128,2774,5058,3608,2579,3.34
622,Kilburn,  ,11578,7732,5786,11192,6934,5661,7.20
623,Kilburn Park  ,  ,5611,5391,3895,5434,4964,3781,3.79
625,King's Cross St. Pancras  ,  ,108944,87733,70576,110248,86809,65780,72.58
624,Kingsbury ,  ,5393,2377,1857,5099,2272,1702,3.11
626,Knightsbridge ,  ,28358,33775,22769,27776,31848,21018,20.20
627,Ladbroke Grove,  ,8330,8974,3353,8032,5145,2677,5.23
628,Lambeth North ,  ,5608,4764,3231,5177,4167,2896,3.55
629,Lancaster Gate,  ,10209,7686,6065,9751,7517,5533,6.52
630,Latimer Road  ,  ,3436,1551,1166,3333,1395,1111,2.00
631,Leicester Square ,  ,50897,66616,36204,50512,68382,36028,36.94
632,Leyton ,  ,19895,15937,11015,18521,14302,10537,12.56
633,Leytonstone,  ,15751,11330,7434,15146,10121,7182,9.79
634,Liverpool Street ,  ,103345,53742,39574,104093,53585,39385,62.72
635,London Bridge ,  ,98519,68360,41224,95148,65880,40281,60.79
636,Loughton  ,  ,4528,2763,1444,4605,2669,1467,2.76
637,Maida Vale,  ,5114,3704,2417,4531,3049,2277,3.07
638,Manor House,  ,14185,11064,8092,12870,9241,7713,8.83
639,Mansion House ,  ,12725,4234,3042,12720,3829,2761,7.20
640,Marble Arch,  ,26158,28536,18837,24517,26708,16771,17.79
641,Marylebone,  ,18310,9900,7535,19050,10358,7541,11.39
642,Mile End  ,  ,21780,15351,10307,19931,13177,9936,13.23
643,Mill Hill East,  ,1587,915,548,1871,1074,620,1.05
646,Moor Park ,  ,1381,511,273,1372,500,270,0.78
645,Moorgate  ,  ,38115,5593,3474,40997,5871,3769,21.04
647,Morden ,  ,11185,6995,4743,10563,6550,4573,6.76
648,Mornington Crescent ,  ,7305,4249,10742,6628,3310,2016,4.67
649,Neasden,  ,4574,2320,1564,4236,2317,1630,2.66
650,Newbury Park  ,  ,6887,4255,2794,5493,3511,2449,3.85
653,North Acton,  ,8032,4601,3346,7667,4228,3098,4.81
654,North Ealing  ,  ,1511,924,529,1357,830,508,0.88
789,North Greenwich  ,  ,27541,17039,11878,29543,18173,12789,17.73
656,North Harrow  ,  ,2556,1096,640,2302,987,639,1.41
659,North Wembley ,  ,2330,1608,980,2132,1401,912,1.40
655,Northfields,  ,6238,4020,2729,6004,3761,2767,3.83
657,Northolt  ,  ,6513,4934,3125,6180,4451,2902,4.05
660,Northwick Park,  ,6133,2283,1670,5954,2042,1644,3.48
661,Northwood ,  ,3483,1562,841,3015,1448,848,1.90
662,Northwood Hills  ,  ,2277,1095,650,1963,964,580,1.25
663,Notting Hill Gate,  ,24715,30101,15807,24821,35140,17271,17.88
664,Oakwood,  ,4623,3240,1980,4538,3288,2102,2.90
665,Old Street,  ,33310,17804,11569,32776,20658,11008,20.05
667,Osterley  ,  ,3281,2540,1698,3087,2043,1396,2.03
668,Oval,  ,9047,7123,4749,8400,6021,4350,5.63
669,Oxford Circus ,  ,101616,85570,48092,115788,91020,52526,70.12
670,Paddington,  ,67966,49711,38443,68610,48363,35142,44.00
671,Park Royal,  ,2673,1647,998,2844,1658,978,1.68
672,Parsons Green ,  ,9611,5771,3445,9072,5065,3345,5.69
673,Perivale  ,  ,3319,2227,1385,3223,2086,1312,2.04
674,Piccadilly Circus,  ,56626,61633,37459,56706,66133,36414,39.68
776,Pimlico,  ,13682,8050,5678,12998,7617,5708,8.24
675,Pinner ,  ,3865,1664,976,3708,1591,948,2.20
676,Plaistow  ,  ,9879,7116,4588,9503,6294,4504,6.14
677,Preston Road  ,  ,4941,2552,1766,4560,2298,1677,2.86
678,Putney Bridge ,  ,8003,6665,4073,8758,6672,4350,5.43
680,Queen's Park  ,  ,9047,6239,4245,7447,4749,3592,5.21
