nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
687,Rickmansworth,Three Rivers, ,4966,2059,1190,4381,1888,1139,291.48
688,Roding Valley,Epping Forest,A,618,215,117,704,178,112,37.41
690,Royal Oak,City of Westminster, ,4309,2687,1941,4048,2540,1990,308.67
691,Ruislip,Hillingdon, ,3187,2193,1269,3186,2159,1237,234.68
692,Ruislip Gardens,Hillingdon, ,2138,1138,651,1718,962,638,131.61
693,Ruislip Manor,Hillingdon, ,3509,2072,1051,3231,1892,1104,232.74
694,Russell Square,Camden, ,18960,12688,9990,16656,12317,9299,1389.13
698,Seven Sisters,Haringey, ,28355,23861,17424,26646,22212,16762,2311.21
700,Shepherd's Bush (Cen),Hammersmith and Fulham, ,35840,31455,20749,31808,28881,19340,2876.06
775,Shepherd's Bush (H&C),Hammersmith and Fulham, ,5846,5077,3084,5424,4628,3203,468.62
702,Sloane Square,Kensington and Chelsea, ,27847,18087,12250,27104,18207,12148,2039.24
703,Snaresbrook,Redbridge, ,5596,2776,1754,4055,2562,1753,334.12
704,South Ealing,Ealing, ,5789,4409,2847,5650,3988,2805,444.74
707,South Harrow,Harrow, ,3444,2331,1570,3619,2350,1612,262.69
708,South Kensington,Kensington and Chelsea, ,50391,42818,34161,49744,44056,33783,4315.96
709,South Kenton,Brent,A,1858,1184,696,2099,1086,768,137.93
710,South Ruislip,Hillingdon,,3364,2125,1323,3190,1971,1279,236.20
711,South Wimbledon,Merton,,8219,5503,3598,7180,5108,3605,583.56
712,South Woodford,Redbridge,,7696,4656,2739,9363,6226,3977,612.50
705,Southfields,Wandsworth,,10030,7115,4368,9142,5880,4229,719.46
706,Southgate,Enfield, ,8777,6134,4189,8831,5989,4336,669.42
784,Southwark,Southwark, ,28187,12164,8458,28800,12921,8234,1818.45
695,St. James's Park,City of Westminster, ,25788,7589,6085,24744,7514,6119,1474.73
696,St. John's Wood,City of Westminster, ,12340,7879,6027,12397,7987,6030,923.79
697,St. Paul's,City of London, ,28879,13501,9087,29552,13116,8497,1885.43
713,Stamford Brook,Hammersmith and Fulham, ,4454,2924,1972,4172,2489,1886,316.88
714,Stanmore,Harrow, ,6152,4451,3028,6137,4163,3073,471.67
715,Stepney Green,Tower Hamlets, ,10703,6769,4857,9583,5732,4613,747.01
716,Stockwell,Lambeth, ,20187,15597,9779,15592,13621,9301,1456.46
717,Stonebridge Park,Brent, ,4262,2637,1757,3955,2314,1624,295.11
719,Stratford,Newham, ,93742,93482,61629,86285,87548,57524,8112.43
720,Sudbury Hill,Ealing, ,2988,1992,1283,3055,1909,1294,221.59
721,Sudbury Town,Brent, ,3027,1916,1394,2801,1545,1215,211.40
723,Swiss Cottage,Camden, ,12645,8442,5867,11957,8026,5636,924.37
724,Temple,City of Westminster, ,15731,5051,3396,15893,5475,3355,927.14
725,Theydon Bois,Epping Forest, ,1526,1210,697,1454,1073,676,116.13
726,Tooting Bec,Wandsworth, ,13230,9607,6351,12044,8184,6401,975.42
727,Tooting Broadway,Wandsworth, ,25494,19445,13028,24753,18145,13072,1979.11
728,Tottenham Court Road,City of Westminster, ,63871,54505,33720,62144,52619,32075,5160.85
729,Tottenham Hale,Haringey, ,21847,9891,7206,20344,8587,6945,1370.45
730,Totteridge & Whetstone,Barnet, ,4396,2544,1597,3928,2179,1561,291.31
731,Tower Hill,Tower Hamlets, ,30036,24595,19675,33220,27252,19866,2634.36
733,Tufnell Park,Islington, ,6597,5234,3682,6004,4349,3536,508.01
734,Turnham Green,Hounslow, ,9699,6579,4508,9809,6553,4591,732.79
735,Turnpike Lane,Haringey, ,16200,13744,9948,16215,12547,9888,1344.60
736,Upminster,Havering,A,8860,5745,2538,9533,5105,2571,625.47
737,Upminster Bridge,Havering, ,2073,751,377,1999,615,371,118.32
738,Upney,Barking and Dagenham, ,4622,2785,1813,4182,2372,1619,311.82
739,Upton Park,Newham, ,15357,11407,8101,14397,10574,7544,1171.08
740,Uxbridge,Hillingdon, ,13974,8494,5256,13371,7825,5194,968.73
777,Vauxhall,Lambeth, ,50772,32387,24662,46714,30150,24796,3670.27
741,Victoria,City of Westminster, ,121018,88605,69760,122783,91001,71565,9727.26
742,Walthamstow Central,Waltham Forest,D,11961,9038,6526,17390,13811,10094,1172.94
743,Wanstead,Redbridge, ,4802,3400,2220,4504,3156,2154,354.95
745,Warren Street,Camden, ,35810,13816,9209,33944,13362,8585,2143.86
746,Warwick Avenue,City of Westminster, ,6917,4925,3490,6357,4537,3598,518.36
747,Waterloo,Lambeth,T,147574,91841,55080,149577,90703,56770,10569.46
748,Watford,Watford, ,3307,1654,1067,2873,1671,1001,209.90
751,Wembley Central,Brent, ,8953,7503,5106,9173,7264,4613,735.76
752,Wembley Park,Brent, ,24980,22413,14412,25094,21274,13438,2088.86
753,West Acton,Ealing, ,2754,2089,1386,2576,1903,1350,209.76
755,West Brompton,Kensington and Chelsea, ,10006,4731,3077,10024,4141,2825,641.68
756,West Finchley,Barnet, ,2897,1590,991,2694,1367,992,190.60
757,West Ham,Newham, ,6946,5447,3826,6466,5392,3805,548.44
758,West Hampstead,Camden, ,20776,13386,9249,16880,10461,8232,1397.91
759,West Harrow,Harrow, ,2270,1686,941,2611,1742,998,181.02
760,West Kensington,Hammersmith and Fulham, ,8424,5987,4309,8020,5069,4121,628.45
762,West Ruislip,Hillingdon, ,2787,2113,1158,2672,1839,1078,205.90
754,Westbourne Park,City of Westminster, ,6923,4582,2906,6272,4048,2973,489.49
761,Westminster,City of Westminster, ,38241,31057,24309,39001,31405,23236,3201.50
764,White City,Hammersmith and Fulham, ,14693,7316,4358,15280,6845,4401,971.38
763,Whitechapel,Tower Hamlets, ,22590,12479,8781,22633,12820,8960,1579.77
765,Willesden Green,Brent, ,13820,10754,8161,13073,9494,7811,1087.13
766,Willesden Junction,Brent,A,7566,5164,2908,7514,4743,3028,549.73
767,Wimbledon,Merton,A,18188,15969,10013,20149,16795,10509,1574.78
768,Wimbledon Park,Merton, ,3583,2648,1605,3301,2235,1600,262.95
770,Wood Green,Haringey, ,20042,15815,11793,18949,16020,11415,1611.63
599,Wood Lane,Hammersmith and Fulham, ,6242,4516,2267,6631,4294,2494,470.25
769,Woodford,Redbridge, ,9442,6937,4140,9537,6301,4142,713.61
771,Woodside Park,Barnet, ,5311,2997,2246,6089,3760,2967,411.16
