nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town,Ealing, ,9531,6716,4744,9382,6617,4785,728.49
502,Aldgate,City of London, ,15080,4397,3261,16023,5909,4230,918.93
503,Aldgate East,Tower Hamlets, ,22327,16166,13323,21071,13893,11347,1703.09
505,Alperton,Brent, ,4495,3279,2345,5081,3392,2445,366.54
506,Amersham,Chiltern, ,3848,1876,1232,4025,1797,1121,255.15
507,Angel,Islington, ,30413,20944,13916,30099,22368,13832,2304.94
508,Archway,Islington, ,15336,10701,7424,13956,9023,6816,1111.07
509,Arnos Grove,Enfield, ,7443,5868,3986,6732,5100,3745,569.35
510,Arsenal,Islington, ,4622,3692,2626,3929,3071,2581,352.61
511,Baker Street,City of Westminster, ,47116,29088,22260,44913,27901,20754,3388.25
512,Balham,Wandsworth, ,22562,17441,10809,22199,15581,10678,1735.09
513,Bank & Monument,City of London,B+A,112547,29906,17414,111709,29100,16333,6171.74
501,Barbican,City of London, ,20680,7416,5149,20512,7702,5351,1250.14
514,Barking,Barking and Dagenham, ,29410,19930,14113,28165,18712,13372,2172.02
515,Barkingside,Redbridge, ,2723,1440,931,2661,1403,934,182.64
516,Barons Court,Hammersmith and Fulham, ,12188,7011,5009,10959,6051,4894,822.71
517,Bayswater,City of Westminster, ,6946,6916,6033,6309,6409,5286,629.22
518,Becontree,Barking and Dagenham, ,6034,3935,2549,5638,3595,2423,428.53
519,Belsize Park,Camden, ,10868,6114,4791,9207,5596,4541,728.59
787,Bermondsey,Southwark, ,16503,12706,8848,16121,12536,9373,1311.95
520,Bethnal Green,Tower Hamlets, ,23869,20599,15643,22390,19079,14976,1981.12
521,Blackfriars,City of London, ,26446,10303,8112,24991,8295,6211,1577.40
522,Blackhorse Road,Waltham Forest, ,14573,10207,7512,13631,9194,6984,1084.66
524,Bond Street,City of Westminster, ,61234,46690,28468,60124,45840,27253,4714.21
525,Borough,Southwark, ,9525,5779,3955,9318,6268,4140,689.18
526,Boston Manor,Ealing, ,3893,2378,1724,3414,2094,1744,269.15
527,Bounds Green,Haringey, ,10509,7995,5470,9196,6878,5232,785.45
528,Bow Road,Tower Hamlets, ,9077,6612,4787,8487,5852,4801,687.94
529,Brent Cross,Barnet, ,4080,2728,2290,3791,2499,2144,304.63
778,Brixton,Lambeth, ,51028,40770,28965,48822,40211,28135,4090.92
530,Bromley-by-Bow,Tower Hamlets,A,6307,3719,2438,5937,3317,2428,432.15
531,Buckhurst Hill,Epping Forest, ,3740,2373,1303,3843,2109,1290,264.14
532,Burnt Oak,Barnet, ,7414,4665,3321,6947,4413,3165,528.80
534,Caledonian Road,Islington, ,9277,6574,4874,8591,5719,4668,691.78
535,Camden Town,Camden, ,31046,37481,16303,31183,41851,28383,3076.84
788,Canada Water,Southwark, ,21804,21533,14625,22150,21539,14887,1964.66
852,Canary Wharf,Tower Hamlets, ,86663,36234,25994,86803,37893,27770,5537.58
884,Canning Town,Newham, ,20492,16422,12206,19892,15457,11613,1651.28
536,Cannon Street,City of London, ,18732,4360,3117,15365,3398,2955,934.74
537,Canons Park,Harrow, ,4900,3505,2373,4777,3259,2271,369.38
539,Chalfont & Latimer,Chiltern, ,2838,1286,726,2964,1082,573,177.81
540,Chalk Farm,Camden, ,8997,8721,7683,8003,7056,5373,771.85
541,Chancery Lane,City of London, ,31085,8066,4071,32778,8195,4038,1729.01
718,Charing Cross,City of Westminster,,30496,26272,16589,29715,22288,12347,2402.49
543,Chesham,Chiltern, ,1985,1011,634,1821,912,564,126.55
544,Chigwell,Epping Forest, ,1021,366,188,727,329,160,52.92
545,Chiswick Park,Ealing, ,3392,2074,1385,3971,2026,1504,256.60
546,Chorleywood,Three Rivers, ,1369,542,328,1221,545,320,80.63
547,Clapham Common,Lambeth, ,15071,13320,9002,16450,13870,9582,1319.80
548,Clapham North,Lambeth, ,9804,9237,5746,10834,9097,5874,866.09
549,Clapham South,Wandsworth, ,13665,10189,6726,13359,9193,6880,1046.70
550,Cockfosters,Enfield, ,2894,2998,1811,2760,2576,1814,251.74
551,Colindale,Barnet, ,11783,8076,5503,10901,6829,5108,849.48
552,Colliers Wood,Merton, ,10755,8146,5827,9870,7264,5657,822.53
553,Covent Garden,City of Westminster, ,22563,27532,17730,24691,36587,20431,2445.46
554,Croxley,Three Rivers, ,2006,887,489,1877,825,489,122.20
555,Dagenham East,Barking and Dagenham, ,5082,3369,2099,4593,2770,1795,351.52
556,Dagenham Heathway,Barking and Dagenham, ,9800,6422,4174,9711,6157,4109,715.02
557,Debden,Epping Forest, ,4365,2100,1100,4076,1836,1035,269.20
558,Dollis Hill,Brent, ,7035,5118,3974,6107,4252,3576,521.08
560,Ealing Broadway,Ealing, ,27918,18907,12639,25074,17762,12462,2013.87
561,Ealing Common,Ealing, ,5017,3634,2486,5002,3413,2470,384.72
562,Earl's Court,Kensington and Chelsea, ,30323,24399,18840,30098,24212,18053,2497.88
563,East Acton,Hammersmith and Fulham,,6603,4380,3187,6345,3923,3119,484.28
565,East Finchley,Barnet,,12133,7616,4980,11528,6609,4958,851.35
566,East Ham,Newham, ,23269,17213,12184,22485,15768,11628,1784.91
567,East Putney,Wandsworth, ,10103,6648,4301,9678,6019,4512,729.09
564,Eastcote,Hillingdon, ,5129,2931,1654,4848,2636,1638,341.29
568,Edgware,Barnet, ,8705,5546,4220,8014,5309,4051,628.82
774,Edgware Road (Bak),City of Westminster, ,7366,4885,3158,7464,4843,3042,544.58
569,Edgware Road (Cir),City of Westminster, ,11970,6611,4932,11396,6435,4542,820.90
570,Elephant & Castle,Southwark, ,37290,23949,17597,32954,21378,15851,2625.42
571,Elm Park,Havering, ,5724,3184,1801,5138,2896,1787,372.04
542,Embankment,City of Westminster, ,34869,28002,17980,33686,25955,15578,2717.90
572,Epping,Epping Forest, ,6224,4582,2658,6449,4216,2584,472.23
574,Euston,Camden, ,65497,52450,43900,64044,51259,39268,5402.32
575,Euston Square,Camden, ,24492,8086,6749,24727,8805,6752,1487.43
576,Fairlop,Redbridge, ,2081,1394,856,1878,1298,821,147.32
577,Farringdon,Islington,C,36844,7931,4687,37094,9088,4550,1972.77
578,Finchley Central,Barnet, ,12024,7238,4118,11680,6401,4266,823.78
579,Finchley Road,Camden, ,15534,11037,7909,14715,9443,7514,1157.14
580,Finsbury Park,Islington,D,52158,41968,25405,45233,30510,22325,3811.76
581,Fulham Broadway,Hammersmith and Fulham, ,15310,12139,6951,15025,10125,6572,1162.50
582,Gants Hill,Redbridge, ,11215,7326,4905,10582,6971,4806,808.53
583,Gloucester Road,Kensington and Chelsea, ,21724,16396,13126,20559,15425,12030,1708.97
584,Golders Green,Barnet, ,13364,9191,7249,12928,8432,7027,1012.83
585,Goldhawk Road,Hammersmith and Fulham, ,3519,2330,1476,3313,2122,1576,253.07
586,Goodge Street,Camden, ,12987,6054,3560,12624,6194,3352,825.35
587,Grange Hill,Redbridge, ,1213,572,278,1085,488,281,72.86
588,Great Portland Street,City of Westminster, ,14519,5020,3281,13985,4835,2775,842.37
590,Green Park,City of Westminster, ,58814,35126,25470,67897,42800,29244,4577.43
589,Greenford,Ealing, ,7635,4982,3143,7453,4611,3040,548.48
591,Gunnersbury,Hounslow, ,10367,4110,2691,9408,3557,2454,609.26
592,Hainault,Redbridge, ,6373,3865,2438,6002,3553,2430,440.66
593,Hammersmith (Dis),Hammersmith and Fulham,,47068,31449,22271,45894,30229,21442,3486.31
773,Hammersmith (H&C),Hammersmith and Fulham, ,18267,10832,7344,16945,10088,7076,1258.29
594,Hampstead,Camden, ,7192,5531,4827,7223,5740,5349,606.94
595,Hanger Lane,Ealing, ,6547,3994,2691,6086,3537,2478,452.09
596,Harlesden,Brent, ,5321,3066,2039,5172,2903,1995,367.48
597,Harrow & Wealdstone,Harrow, ,8496,4650,3093,7332,4465,2929,555.83
598,Harrow-on-the-Hill,Harrow, ,16908,11329,7711,18067,11531,7995,1294.99
779,Hatton Cross,Hillingdon, ,5026,3758,3016,4737,3613,2987,397.05
781,Heathrow Terminal 4,Hillingdon, ,3253,3419,3494,2885,3391,2989,316.27
783,Heathrow Terminal 5,Hillingdon, ,6659,6383,7743,5700,5191,5919,614.41
780,Heathrow Terminals 123,Hillingdon, ,11347,12041,12845,9606,9810,10471,1076.65
601,Hendon Central,Barnet, ,13207,7560,5685,12181,6560,5278,900.52
602,High Barnet,Barnet, ,7311,4031,2518,6820,3525,2497,482.96
605,High Street Kensington,Kensington and Chelsea, ,20170,14260,10213,19963,13917,9172,1534.99
603,Highbury & Islington,Islington, ,31198,24555,15276,30890,23441,16720,2463.31
604,Highgate,Haringey, ,9839,6257,4118,8948,5772,4272,692.90
606,Hillingdon,Hillingdon, ,3193,2169,1112,2686,1687,1007,212.63
607,Holborn,Camden, ,51101,28823,17598,56804,31315,18187,3679.69
608,Holland Park,Kensington and Chelsea, ,6091,3888,2601,5447,3879,2663,432.38
609,Holloway Road,Islington, ,10836,7498,5453,10473,6944,5466,814.97
610,Hornchurch,Havering, ,3723,2269,1042,3705,2299,1061,255.73
611,Hounslow Central,Hounslow, ,6080,4252,3022,6423,4073,2929,469.91
612,Hounslow East,Hounslow, ,5988,4804,3609,6305,4905,3678,502.17
613,Hounslow West,Hounslow, ,5414,4253,3387,5191,4160,3406,440.58
614,Hyde Park Corner,City of Westminster, ,7515,7654,6368,8292,7400,6454,727.13
615,Ickenham,Hillingdon, ,1912,1170,621,1958,1146,654,134.48
616,Kennington,Southwark, ,8942,6777,4709,8177,6390,4843,687.97
617,Kensal Green,Brent, ,4578,3147,2139,3891,2664,2092,324.32
618,Kensington (Olympia),Kensington and Chelsea,A,1640,6965,4157,1616,6391,4232,375.46
619,Kentish Town,Camden, ,13857,8998,6164,12940,8053,5434,983.17
620,Kenton,Brent, ,3327,2130,1415,3331,2096,1391,242.66
621,Kew Gardens,Richmond, ,6662,5484,4385,6497,5058,4007,548.45
622,Kilburn,Brent, ,13475,10578,7920,12733,9837,7841,1071.31
623,Kilburn Park,Brent, ,5153,4424,3149,4948,4116,3070,424.80
625,King's Cross St. Pancras,Camden, ,149150,117237,98579,146864,112360,89348,12208.11
624,Kingsbury,Brent,,8439,5685,4019,8092,5386,3853,622.92
626,Knightsbridge,Kensington and Chelsea, ,25026,28003,19735,23810,25435,15400,2304.19
627,Ladbroke Grove,Kensington and Chelsea, ,9327,9009,4625,8878,7205,3950,747.49
628,Lambeth North,Lambeth, ,5443,5072,3865,4887,4542,3243,457.89
629,Lancaster Gate,City of Westminster, ,9568,7851,6492,9120,7473,5692,787.61
630,Latimer Road,Kensington and Chelsea, ,4190,2164,1532,4003,1922,1457,276.53
631,Leicester Square,City of Westminster, ,49948,71173,41846,47341,69316,39694,5234.22
632,Leyton,Waltham Forest, ,20416,17743,12375,20276,15780,11901,1689.04
633,Leytonstone,Waltham Forest, ,17433,12923,8810,16820,12061,8660,1335.76
634,Liverpool Street,City of London, ,112437,56259,42894,111688,60262,41470,7652.50
635,London Bridge,Southwark, ,113606,78569,45408,107048,75800,42694,8204.75
636,Loughton,Epping Forest, ,5830,3837,2098,5817,3635,2116,417.23
637,Maida Vale,City of Westminster, ,5434,3803,2676,4864,3331,2587,396.58
638,Manor House,Hackney, ,13539,11134,8587,12569,9598,8442,1090.66
639,Mansion House,City of London, ,11584,2766,2046,11730,2602,1818,634.55
640,Marble Arch,City of Westminster, ,22337,19161,13651,19926,15796,11629,1761.62
641,Marylebone,City of Westminster, ,20984,14952,11935,21656,15163,10853,1659.36
642,Mile End,Tower Hamlets, ,24959,18224,13261,23873,16737,13471,1916.96
643,Mill Hill East,Barnet,A,2397,1202,769,2154,1414,877,158.18
646,Moor Park,Three Rivers, ,1717,639,364,1558,619,381,99.27
645,Moorgate,City of London,A,46698,5823,3961,54744,7320,4878,2500.09
647,Morden,Merton, ,17036,11546,8648,15608,10490,8367,1251.79
648,Mornington Crescent,Camden, ,7868,4752,11598,7293,3435,2327,634.81
649,Neasden,Brent, ,6327,4364,3153,5707,4027,2998,464.04
650,Newbury Park,Redbridge, ,9329,6362,4269,8148,5762,3775,662.59
653,North Acton,Ealing, ,11190,6407,4544,11023,5915,4405,778.38
654,North Ealing,Ealing, ,1402,939,594,1232,801,601,98.30
789,North Greenwich,Greenwich, ,40613,35817,28314,42343,36024,29738,3593.14
656,North Harrow,Harrow, ,3285,1730,1051,3165,1540,990,214.63
659,North Wembley,Brent, ,2917,1966,1404,2693,1751,1332,211.80
655,Northfields,Ealing, ,6422,4279,3038,6197,3990,3159,474.89
657,Northolt,Ealing, ,8427,5747,3834,8044,5234,3657,615.84
660,Northwick Park,Brent, ,7679,3607,2678,7553,3270,2612,499.66
661,Northwood,Hillingdon,A,5509,2592,1587,4747,2373,1533,336.43
662,Northwood Hills,Hillingdon, ,3435,1901,1167,3250,1694,1117,227.66
663,Notting Hill Gate,Kensington and Chelsea, ,23741,23951,14101,23447,27388,15288,2153.15
664,Oakwood,Enfield, ,4407,3555,2568,4331,3560,2689,361.31
665,Old Street,Islington, ,42971,26666,18023,41107,31508,17321,3131.06
667,Osterley,Hounslow, ,3452,2532,1787,3408,2291,1686,264.58
668,Oval,Lambeth, ,11909,8303,5763,11272,7631,5485,882.67
669,Oxford Circus,City of Westminster, ,121364,103026,63185,136405,113894,65547,10417.31
670,Paddington,City of Westminster, ,78992,48872,41733,76087,46671,36560,5776.20
671,Park Royal,Ealing, ,3241,2138,1477,3221,2097,1391,239.39
672,Parsons Green,Hammersmith and Fulham, ,11793,6549,3870,10566,5924,3847,769.32
673,Perivale,Ealing, ,4207,2608,1616,3942,2401,1591,292.09
674,Piccadilly Circus,City of Westminster, ,59266,66956,40514,56959,65289,36412,5465.82
776,Pimlico,City of Westminster, ,18185,10677,8159,17077,10280,8112,1282.02
675,Pinner,Harrow, ,5896,2947,1867,5615,2797,1766,381.37
676,Plaistow,Newham, ,9930,6676,4821,9429,6084,4795,731.47
677,Preston Road,Brent, ,6315,3557,2656,5399,3292,2556,422.38
678,Putney Bridge,Hammersmith and Fulham, ,8283,6549,3856,8585,6106,3921,652.40
680,Queen's Park,Brent, ,9409,6382,4651,8423,5362,4298,675.96
679,Queensbury,Brent, ,7534,4941,3248,7372,4646,3116,546.60
681,Queensway,City of Westminster, ,11823,12040,9727,12303,12466,9693,1130.62
682,Ravenscourt Park,Hammersmith and Fulham, ,5336,3061,2127,5132,2900,2176,370.08
683,Rayners Lane,Harrow, ,6991,4352,2955,6986,4145,2910,503.62
684,Redbridge,Redbridge, ,4737,3633,2523,4378,3134,2295,359.94
685,Regent's Park,City of Westminster, ,5675,3012,2035,6202,3595,2428,410.69
686,Richmond,Richmond,A,11845,13954,7259,12226,12874,7072,1103.47
