nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
692,Ruislip Gardens,,1405,753,380,1186,615,364,0.77
693,Ruislip Manor,,2521,1578,743,2356,1398,763,1.48
694,Russell Square,,20559,15421,11348,21155,16894,11672,13.59
698,Seven Sisters,,21281,17267,10736,20524,14994,10902,13.53
699,Shadwell,,2598,2010,1434,2888,2191,1629,1.79
700,Shepherd's Bush, ,19718,13764,9136,18445,13349,9020,12.14
775,Shepherd's Bush Market, ,5416,5001,2668,4985,4171,2591,3.42
701,Shoreditch,Closed,0,0,0,0,0,0,0.00
702,Sloane Square, ,22366,16124,8528,21999,16003,8675,13.91
703,Snaresbrook,,4172,1822,1080,3181,1602,978,2.16
704,South Ealing,,5535,3973,2439,5380,3641,2453,3.45
707,South Harrow,,3390,2337,1509,3551,2308,1531,2.18
708,South Kensington,,42836,31554,24366,43472,34714,25953,28.25
709,South Kenton,,1317,830,451,1321,751,501,0.81
710,South Ruislip,,2645,1348,738,2497,1222,736,1.52
711,South Wimbledon,,6100,4116,2622,5677,4027,2749,3.72
712,South Woodford,,6335,3373,1733,6078,3479,1893,3.71
705,Southfields,,9781,7490,4486,8239,5760,3875,5.74
706,Southgate,,7661,5204,3193,7716,4981,3340,4.81
784,Southwark,,14718,5294,3285,15114,5628,3595,8.52
695,St. James's Park, ,22684,5468,3791,24666,6181,4667,13.08
696,St. John's Wood, ,10571,6875,4643,10713,6790,4766,6.65
697,St. Paul's, ,22329,9426,6454,23191,9078,6290,13.23
713,Stamford Brook, ,4658,3214,2000,4244,2623,1793,2.78
714,Stanmore, ,4511,3042,1946,4496,3139,1914,2.83
715,Stepney Green, ,6884,4121,3033,6185,3346,2702,4.03
716,Stockwell, ,13896,9807,6021,11067,8893,5964,8.00
717,Stonebridge Park, ,3344,1817,1495,3429,1842,1554,2.08
719,Stratford, ,40084,30755,21334,38540,31154,21310,25.63
720,Sudbury Hill, ,3601,2376,1462,3512,2261,1440,2.21
721,Sudbury Town, ,3611,2476,1694,3829,1546,1740,2.29
722,Surrey Quays, ,4163,3127,2025,3433,2695,1896,2.46
723,Swiss Cottage, ,11748,8182,5551,11113,7508,5361,7.24
724,Temple, ,12784,3904,1961,13723,4131,1854,7.35
725,Theydon Bois, ,1097,565,289,1076,543,284,0.64
726,Tooting Bec, ,11542,8656,5425,10667,7370,5431,7.09
727,Tooting Broadway, ,20901,15784,10210,20276,14423,10079,13.19
728,Tottenham Court Road,,55533,47130,28695,58170,51826,28531,37.29
729,Tottenham Hale,,12884,8590,5345,11935,6938,5056,7.70
730,Totteridge & Whetstone ,,2830,1501,833,2722,1334,823,1.65
731,Tower Hill,,28863,22680,16323,30416,24807,17124,19.44
733,Tufnell Park,,5490,4406,2684,4599,3210,2311,3.24
734,Turnham Green,,9512,6627,3852,9342,6140,4055,5.90
735,Turnpike Lane,,14523,12559,8795,15284,10631,8455,9.76
736,Upminster,,7622,4040,2586,7628,3656,2674,4.57
737,Upminster Bridge,,1687,372,114,1204,331,110,0.78
738,Upney,,3144,1822,1103,3064,1278,1085,1.86
739,Upton Park,,13869,10691,7058,13454,10491,6929,8.84
740,Uxbridge,,10495,6996,3789,10517,6452,4174,6.49
777,Vauxhall,,33272,17714,12884,28434,15869,11935,18.82
741,Victoria,,119294,84439,56198,122344,81230,56637,76.41
742,Walthamstow Central,,22505,16182,10681,20588,15323,9693,13.74
743,Wanstead,,3634,2310,1321,3578,2147,1312,2.21
744,Wapping,,2355,2266,1452,2268,1990,1428,1.56
745,Warren Street,,24545,8704,5590,25283,9221,5176,14.17
746,Warwick Avenue,,6950,5070,3287,6264,4421,3269,4.22
747,Waterloo,T,122420,73111,43204,122204,72447,48074,74.84
748,Watford,,2894,1500,826,2621,1467,745,1.64
751,Wembley Central,,4989,3645,2896,4874,3800,2457,3.20
752,Wembley Park,,15928,17192,12516,16969,21829,13843,11.91
753,West Acton,,2586,1707,1042,2439,1506,1037,1.56
755,West Brompton,,5767,4525,2468,6171,4502,2395,3.78
756,West Finchley,,2108,1037,603,1827,877,569,1.16
757,West Ham,,5158,4002,2640,4673,3368,2415,3.17
758,West Hampstead,,12670,9882,6649,10285,7787,5768,7.46
759,West Harrow,,1933,991,613,1910,1022,622,1.15
760,West Kensington,,8103,6240,3927,6949,5040,3583,4.84
