nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town                         , ,8702,6326,4216,8392,5976,4223,5.46
502,Aldgate                            , ,11319,2358,2251,10919,3676,2758,6.24
503,Aldgate East                       , ,15045,8983,8051,13957,8177,7672,9.16
505,Alperton                           , ,4478,3357,2373,4665,3384,2399,2.95
506,Amersham                           , ,3461,1496,975,3775,1582,869,2.10
507,Angel                              , ,27812,21215,12655,27740,21851,12446,17.78
508,Archway                            , ,13511,9146,5741,12556,7138,5108,8.08
509,Arnos Grove                        , ,6711,5162,3129,6268,4648,3067,4.16
510,Arsenal                            , ,4923,4534,2807,4281,3508,2634,3.07
511,Baker Street                       , ,43877,28850,20798,41869,27280,19966,27.02
512,Balham                             , ,18448,13543,8334,17769,12143,7961,11.46
513,Bank & Monument                    ,B,87174,21429,11706,87584,21639,11203,47.80
501,Barbican                           , ,16173,6673,3769,15812,6849,3576,9.23
514,Barking                            , ,22912,15199,10192,21587,13841,9937,13.96
515,Barkingside                        , ,1994,977,653,1872,1012,622,1.16
516,Barons Court                       , ,11409,6579,4365,10111,5062,3867,6.54
517,Bayswater                          , ,7284,7711,6390,6972,7242,5756,5.10
518,Becontree                          , ,4658,2820,1707,4345,2645,1642,2.76
519,Belsize Park                       , ,9766,5601,3796,9061,4874,3658,5.75
787,Bermondsey                         , ,12166,8160,5653,11173,7462,5580,7.38
520,Bethnal Green                      , ,23818,19716,13643,21829,17909,13159,15.09
521,Blackfriars                        ,N,0,0,0,0,0,0,0.00
522,Blackhorse Road                    , ,10718,7296,4945,9820,6482,4479,6.47
524,Bond Street                        , ,57023,44164,25411,56033,41408,24914,36.02
525,Borough                            , ,7365,4650,3050,7339,4798,3085,4.57
526,Boston Manor                       , ,3011,2119,1451,2973,1842,1396,1.89
527,Bounds Green                       , ,9048,6775,4686,8292,5933,4548,5.59
528,Bow Road                           , ,8216,5324,3700,8008,5174,3612,5.08
529,Brent Cross                        , ,3568,2382,2006,3341,2182,1791,2.21
778,Brixton                            , ,36383,26562,18140,33521,25148,18046,22.51
530,Bromley-by-Bow                     , ,4621,2527,1873,4413,2292,1765,2.75
531,Buckhurst Hill                     , ,3155,1892,904,3001,1674,906,1.85
532,Burnt Oak                          , ,6265,4165,2796,5765,3931,2681,3.79
534,Caledonian Road                    , ,8709,6011,4239,7866,5340,4066,5.27
535,Camden Town                        , ,27850,35419,16704,29045,40891,27751,20.99
788,Canada Water                       , ,14889,12676,9281,14842,12175,9233,9.91
852,Canary Wharf                       , ,80732,28729,19895,82010,29214,20838,46.59
884,Canning Town                       , ,13158,11872,8450,12622,11027,8456,8.71
536,Cannon Street                      ,A,8469,0,0,7529,0,0,4.05
537,Canons Park                        , ,3141,1478,905,3039,1363,862,1.82
539,Chalfont & Latimer                 , ,2127,850,545,1985,808,500,1.19
540,Chalk Farm                         , ,8078,7104,5803,6677,5352,3641,4.94
541,Chancery Lane                      , ,28614,7778,4136,29768,7509,3825,16.04
718,Charing Cross                      , ,29282,25963,16562,29802,24443,16385,19.51
543,Chesham                            , ,1165,519,304,916,551,289,0.62
544,Chigwell                           , ,882,366,195,693,376,179,0.46
545,Chiswick Park                      , ,3109,1711,1078,3454,1718,1131,1.97
546,Chorleywood                        , ,1685,666,346,1472,641,324,0.91
547,Clapham Common                     , ,12976,11772,7179,14304,13144,7365,9.06
548,Clapham North                      , ,7947,7832,4911,9609,7640,4929,5.83
549,Clapham South                      , ,12818,8563,5795,12063,7564,5797,7.82
550,Cockfosters                        , ,2652,2361,1451,2553,2174,1407,1.72
551,Colindale                          , ,6986,4709,3162,6146,3912,2870,4.13
552,Colliers Wood                      , ,9036,6839,4621,8251,5978,4442,5.57
553,Covent Garden                      , ,25966,29803,20354,29597,41505,22253,20.28
554,Croxley                            , ,1458,554,278,1428,510,279,0.82
555,Dagenham East                      , ,3802,2320,1419,3423,2165,1314,2.22
556,Dagenham Heathway                  , ,7866,4763,2825,7557,4437,2777,4.71
557,Debden                             , ,3862,1569,803,3527,1491,766,2.12
558,Dollis Hill                        , ,5714,3586,2502,4179,2344,1993,3.08
560,Ealing Broadway                    , ,26500,17536,11837,24718,16329,11422,16.09
561,Ealing Common                      , ,5063,3918,2619,5054,3446,2566,3.25
562,Earl's Court                       , ,30597,31164,24459,28559,30599,22789,20.97
563,East Acton                         , ,5421,3679,2670,5394,3329,2546,3.41
565,East Finchley                      , ,10565,6503,4096,9971,5469,3929,6.29
566,East Ham                           , ,21148,15818,11099,20364,14294,10885,13.37
567,East Putney                        , ,8475,5666,3135,7527,4335,3008,4.93
564,Eastcote                           , ,4243,2300,1160,3953,1975,1149,2.43
568,Edgware                            , ,6914,5186,3648,6653,4707,3571,4.37
774,Edgware Road (Bak)                 , ,6413,4736,3117,6364,4480,2822,4.06
569,Edgware Road (Cir)                 , ,10081,4774,3876,9676,4777,3614,5.94
570,Elephant & Castle                  , ,29273,18394,13115,27137,18155,13073,17.72
571,Elm Park                           , ,4294,2103,1129,4014,1952,1086,2.44
542,Embankment                         , ,30157,24942,16127,30006,26586,15894,19.79
572,Epping                             , ,5270,3628,2390,4405,3579,2230,3.10
574,Euston                             , ,53204,40245,33274,54803,40620,31028,35.32
575,Euston Square                      , ,18929,6010,4145,19795,5874,3832,10.89
576,Fairlop                            , ,1582,864,484,1478,853,514,0.92
577,Farringdon                         , ,36492,6375,3251,34785,6043,2605,19.02
578,Finchley Central                   , ,9071,6462,3264,8677,5333,3356,5.49
579,Finchley Road                      , ,14799,9631,6880,13749,8856,6559,8.98
580,Finsbury Park                      ,A,38555,36015,20860,34792,28551,19385,24.29
581,Fulham Broadway                    , ,15306,10491,6783,15126,10597,6217,9.56
582,Gants Hill                         , ,8990,5692,3823,8565,5553,3834,5.48
583,Gloucester Road                    , ,22323,16476,12603,21373,16053,11394,14.16
584,Golders Green                      , ,12242,9173,6945,11825,8350,6791,7.81
585,Goldhawk Road                      , ,2731,1498,891,2611,1308,917,1.60
586,Goodge Street                      , ,18104,8129,4677,18105,9142,4774,10.62
587,Grange Hill                        , ,902,405,226,770,348,215,0.49
588,Great Portland Street              , ,13175,3809,2705,12569,3282,2114,7.17
590,Green Park                         , ,48693,28229,18835,54351,34000,22149,31.72
589,Greenford                          , ,6477,4445,2651,6206,3955,2474,3.95
591,Gunnersbury                        , ,8319,3310,2004,6907,2779,1805,4.39
592,Hainault                           , ,4976,2855,1786,4720,2651,1775,2.95
593,Hammersmith (Dis)                  , ,46718,33264,21791,44372,31209,21308,28.94
773,Hammersmith (H&C)                  , ,15230,8757,6142,13701,8517,5239,8.89
594,Hampstead                          , ,6446,5221,3922,6545,5242,4252,4.31
595,Hanger Lane                        , ,5698,3554,2405,5124,3251,2180,3.36
596,Harlesden                          , ,3800,2137,1331,3731,2084,1301,2.28
597,Harrow & Wealdstone                , ,7494,4684,3026,6959,4209,2901,4.47
598,Harrow-on-the-Hill                 , ,13833,8918,5554,14543,8750,5492,8.75
779,Hatton Cross                       , ,4646,3419,2653,4381,3224,2433,2.93
780,Heathrow Terminals 123, ,11261,12379,12053,9618,9945,9600,7.72
781,Heathrow Terminal 4, ,3492,4047,4247,3012,3328,3047,2.46
783,Heathrow Terminal 5, ,4698,4535,5479,4144,3810,3676,3.21
601,Hendon Central                     , ,11932,6889,4906,11065,5677,4286,7.01
602,High Barnet                        , ,5279,3611,1855,4930,3099,1699,3.14
605,High Street Kensington             , ,18689,12336,9326,19255,12941,8976,11.99
603,Highbury & Islington               , ,25120,21451,11357,24801,22198,11668,16.26
604,Highgate                           , ,8248,5524,3450,7729,4773,3373,4.98
606,Hillingdon                         , ,2418,1376,827,2188,1270,819,1.40
607,Holborn                            , ,51012,28625,16956,55164,31070,17194,31.98
608,Holland Park                       , ,5565,3608,2517,5164,3403,2404,3.37
609,Holloway Road                      , ,12946,9617,4869,12646,9792,4723,8.05
610,Hornchurch                         , ,3320,1715,844,3366,1822,879,1.98
611,Hounslow Central                   , ,6251,4184,3302,5960,4094,3213,3.90
612,Hounslow East                      , ,6437,5042,3818,6681,4740,3667,4.27
613,Hounslow West                      , ,5015,3848,3111,4601,3626,2960,3.18
614,Hyde Park Corner                   , ,8184,8405,7099,8887,8891,7325,6.07
615,Ickenham                           , ,1672,849,442,1653,838,464,0.98
616,Kennington                         , ,7120,6023,3877,6579,5468,3786,4.52
617,Kensal Green                       , ,3924,2899,1973,3292,2361,1756,2.32
618,Kensington (Olympia)               , ,1433,6099,3535,1403,5527,3512,1.74
619,Kentish Town                       , ,12078,7821,4389,11532,6696,3855,7.21
620,Kenton                             , ,3192,2179,1307,3011,2013,1316,1.94
621,Kew Gardens                        , ,5015,4172,2556,4616,3393,2551,3.13
622,Kilburn                            , ,11954,8841,6180,11472,7979,6024,7.52
623,Kilburn Park                       , ,5331,4526,3111,5130,4163,2945,3.46
625,King's Cross St. Pancras           , ,116766,94473,74618,116203,90893,69961,77.11
624,Kingsbury                          , ,5822,3186,2281,5506,2897,2122,3.44
626,Knightsbridge                      , ,29626,33458,22591,29001,31720,19398,20.70
627,Ladbroke Grove                     , ,8405,7607,3608,7722,4748,2609,5.09
628,Lambeth North                      , ,5494,4551,3302,5034,4370,2973,3.50
629,Lancaster Gate                     , ,10308,8195,6493,9842,7853,6136,6.68
630,Latimer Road                       , ,2878,1607,956,2800,1450,861,1.70
631,Leicester Square                   , ,53002,67564,37470,54956,68479,36972,38.78
632,Leyton                             , ,20552,17779,12078,19477,16050,11701,13.29
633,Leytonstone                        , ,16496,12726,8520,15883,11624,8340,10.45
634,Liverpool Street                   , ,104252,50855,41623,107346,50869,40095,63.65
635,London Bridge                      , ,103067,78259,50067,101013,74978,48979,65.44
636,Loughton                           , ,4851,3125,1585,5000,3014,1603,3.00
637,Maida Vale                         , ,4961,3564,2373,4448,2988,2251,2.99
638,Manor House                        , ,14602,11643,8681,13471,9916,8107,9.21
639,Mansion House                      , ,13164,4243,2862,13204,3840,2643,7.42
640,Marble Arch                        , ,25632,25303,18234,23325,22376,15794,16.87
641,Marylebone                         , ,18528,11320,6492,18849,11315,6519,11.40
642,Mile End                           , ,22712,17821,11668,20564,15145,11243,14.01
643,Mill Hill East                     ,A,1642,984,600,1930,1147,684,1.09
646,Moor Park                          , ,1481,567,317,1395,560,331,0.82
645,Moorgate                           , ,39161,5869,3617,40454,6338,4009,21.23
647,Morden                             , ,11917,7702,5264,11065,7068,5119,7.20
648,Mornington Crescent                , ,6714,3897,10568,5889,3222,2032,4.30
649,Neasden                            , ,4645,2612,1812,4159,2466,1747,2.70
650,Newbury Park                       , ,7100,4691,3154,5242,3980,2693,3.92
653,North Acton                        , ,7817,4421,3127,7388,4023,2902,4.64
654,North Ealing                       , ,1638,959,582,1417,891,567,0.94
789,North Greenwich                    , ,23982,18661,12982,23714,19708,14790,15.70
656,North Harrow                       , ,2561,1123,602,2347,1021,589,1.42
659,North Wembley                      , ,2593,1768,1158,2407,1578,1107,1.57
655,Northfields                        , ,6220,3880,2668,5969,3561,2731,3.79
657,Northolt                           , ,6887,5032,3367,6540,4544,3142,4.28
660,Northwick Park                     , ,6237,2624,1687,6116,2295,1650,3.58
661,Northwood                          , ,3603,1700,994,3064,1531,987,1.97
662,Northwood Hills                    , ,2319,1175,681,2042,1026,615,1.29
663,Notting Hill Gate                  , ,24366,28983,14902,24034,33670,16493,17.36
664,Oakwood                            , ,4288,3483,2317,4098,3193,2295,2.74
665,Old Street                         , ,35386,17466,11183,34941,20052,10780,21.04
667,Osterley                           , ,3438,2524,1791,3283,2160,1630,2.15
668,Oval                               , ,9391,7368,4899,8799,5892,4501,5.85
669,Oxford Circus                      , ,116093,86318,51752,125422,100972,54187,77.09
670,Paddington                         , ,72384,49513,42096,72565,48754,37510,46.48
671,Park Royal                         , ,2508,1621,1009,2595,1707,1006,1.58
672,Parsons Green                      , ,10193,5898,3542,9459,5086,3267,5.94
673,Perivale                           , ,3431,2282,1450,3240,2055,1389,2.08
674,Piccadilly Circus                  , ,57401,64038,39622,58128,67382,37003,40.58
776,Pimlico                            , ,14635,8465,6267,13805,7973,6249,8.79
675,Pinner                             , ,3998,1975,1015,3857,1819,1001,2.30
676,Plaistow                           , ,10177,7245,4642,9855,6606,4743,6.34
677,Preston Road                       , ,5021,2887,1858,4717,2589,1736,2.96
678,Putney Bridge                      , ,8063,5598,4161,8669,5673,4525,5.33
680,Queen's Park                       , ,9283,6206,4161,8381,5065,3878,5.53
679,Queensbury                         , ,5245,2758,1981,5291,2678,1873,3.18
681,Queensway                          , ,12979,11882,9198,12953,11821,8866,8.86
682,Ravenscourt Park                   , ,4477,2393,1658,4264,2221,1672,2.65
683,Rayners Lane                       , ,6629,3811,2497,6421,3621,2446,3.98
684,Redbridge                          , ,4286,3227,2234,3868,2866,2059,2.63
685,Regent's Park                      , ,5625,3553,2402,6418,4433,2946,3.78
686,Richmond                           ,A,11184,10436,5428,11586,9995,5600,7.47
687,Rickmansworth                      , ,3871,1478,776,3216,1389,697,2.03
688,Roding Valley                      ,A,439,173,87,326,149,83,0.22
690,Royal Oak                          , ,3541,1532,1142,3415,1441,1084,2.05
691,Ruislip                            , ,2527,1643,912,2587,1657,912,1.57
692,Ruislip Gardens                    , ,1746,1161,659,1481,953,628,1.00
693,Ruislip Manor                      , ,2786,1383,712,2660,1287,696,1.60
694,Russell Square                     , ,22464,17519,13128,22583,17577,12405,14.73
698,Seven Sisters                      , ,20618,14734,10620,18468,12819,9823,12.53
700,Shepherd's Bush (Cen)              , ,33237,31472,20489,30259,29381,19607,21.59
775,Shepherd's Bush (H&C)              , ,4943,3387,2091,4669,2885,2005,3.00
702,Sloane Square                      , ,24156,16393,9668,23811,16077,9249,14.94
703,Snaresbrook                        , ,4882,2462,1495,3737,2254,1422,2.60
704,South Ealing                       , ,5314,3786,2421,5212,3461,2399,3.32
707,South Harrow                       , ,3589,2476,1680,3618,2503,1665,2.28
708,South Kensington                   , ,46123,38493,27885,45879,39813,27369,30.61
709,South Kenton                       ,A,1667,966,544,1475,872,598,0.96
710,South Ruislip                      , ,2935,1987,1244,2664,1808,1180,1.76
711,South Wimbledon                    , ,6288,4139,2661,5610,3999,2714,3.75
712,South Woodford                     , ,6399,4111,2613,7770,5051,3028,4.39
705,Southfields                        , ,9046,5947,3540,7936,4788,3279,5.26
706,Southgate                          , ,7815,5411,3320,7840,5222,3434,4.91
784,Southwark                          , ,19234,7364,4532,19284,7669,4624,11.07
695,St. James's Park                   , ,23888,5893,4089,25029,6086,4345,13.50
696,St. John's Wood                    , ,10708,6797,4869,10887,6699,4900,6.74
697,St. Paul's                         , ,28452,15173,10776,28264,14137,9753,17.08
713,Stamford Brook                     , ,4297,2575,1560,3987,2159,1500,2.52
714,Stanmore                           , ,4841,2964,2130,4903,2873,2150,3.02
715,Stepney Green                      , ,7691,3954,2981,6814,3244,2674,4.38
716,Stockwell                          , ,14805,10085,6986,11214,8428,6341,8.33
717,Stonebridge Park                   , ,4232,2599,1607,4214,2487,1603,2.59
719,Stratford                          , ,70198,81848,51574,66657,75104,46485,48.57
720,Sudbury Hill                       , ,3321,2025,1276,3218,1891,1238,2.01
721,Sudbury Town                       , ,3502,2454,1695,3024,1882,1345,2.06
723,Swiss Cottage                      , ,11414,7398,5241,10569,6840,5002,6.91
724,Temple                             , ,17689,4992,2920,18528,4769,2527,9.99
725,Theydon Bois                       , ,1218,866,461,1157,794,431,0.74
726,Tooting Bec                        , ,10932,7867,5007,9730,6564,4866,6.56
727,Tooting Broadway                   , ,20538,15317,9879,20360,14104,9828,13.04
728,Tottenham Court Road               , ,37528,28025,17552,37469,28285,17841,23.99
729,Tottenham Hale                     , ,14047,9738,6240,14254,9166,5888,8.86
730,Totteridge & Whetstone             , ,3372,1970,1139,3162,1742,1089,1.98
731,Tower Hill                         , ,32338,26387,19603,33145,26135,19076,21.58
733,Tufnell Park                       , ,5910,4642,3203,5051,3498,2706,3.55
734,Turnham Green                      , ,9275,6373,3979,9372,6082,3971,5.83
735,Turnpike Lane                      , ,14983,12274,8572,14925,11243,8564,9.80
736,Upminster                          ,A,7316,4622,2006,7953,4177,1985,4.56
737,Upminster Bridge                   , ,1805,603,256,1758,501,247,0.99
738,Upney                              , ,3682,2012,1245,3312,1833,1107,2.11
739,Upton Park                         , ,17232,13875,8902,16542,13877,8499,11.01
740,Uxbridge                           , ,11378,6841,3769,11390,6432,4036,6.91
777,Vauxhall                           , ,34633,23396,16638,31228,20598,15924,20.87
741,Victoria                           , ,124079,96667,71688,127195,99471,71940,82.25
742,Walthamstow Central                , ,22851,16370,10935,21976,15689,11240,14.32
743,Wanstead                           , ,4070,3041,1883,4013,2819,1869,2.57
745,Warren Street                      , ,27238,10356,7029,27558,9831,6163,15.69
746,Warwick Avenue                     , ,7094,5123,3430,6323,4556,3462,4.30
747,Waterloo                           ,T,134576,85230,51253,138966,83684,52700,84.12
748,Watford                            , ,2696,1207,744,2685,1181,723,1.57
751,Wembley Central                    , ,7067,5654,4177,6774,5434,4034,4.56
752,Wembley Park                       , ,15153,10754,8747,14742,10377,8196,9.66
753,West Acton                         , ,2640,1897,1185,2483,1660,1129,1.62
755,West Brompton                      , ,6478,5079,3226,6836,4728,2996,4.25
756,West Finchley                      , ,2421,1317,770,2163,1085,757,1.37
757,West Ham                           , ,5281,4778,3154,4864,4494,3114,3.42
758,West Hampstead                     , ,14057,10187,6366,11903,8166,5712,8.23
759,West Harrow                        , ,1790,987,554,1773,1058,586,1.08
760,West Kensington                    , ,8121,5660,3799,6536,4303,3160,4.64
762,West Ruislip                       , ,2613,2233,1305,2428,1944,1207,1.64
754,Westbourne Park                    , ,5637,2443,1697,4660,2091,1566,3.03
761,Westminster                        , ,30455,28860,21300,30719,27225,19091,20.78
764,White City                         , ,12917,7414,4577,12614,6909,4476,7.74
763,Whitechapel                        , ,20752,11160,8006,20952,10918,7646,12.62
765,Willesden Green                    , ,12661,9314,6289,11744,8043,6158,7.81
