nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town,Ealing, ,9379,7119,4824,9418,6863,4944,6.06
502,Aldgate,City of London, ,12779,2985,2429,12967,3951,3455,7.22
503,Aldgate East,Tower Hamlets, ,19298,14234,11571,18545,12624,10075,12.25
505,Alperton,Brent, ,4804,3461,2541,5092,3557,2588,3.17
506,Amersham,Chiltern, ,3812,1822,1203,4543,1866,1075,2.44
507,Angel,Islington, ,29351,23332,14455,30145,24434,14034,19.22
508,Archway,Islington, ,14356,10187,6633,13971,8958,6612,8.94
509,Arnos Grove,Enfield, ,7317,6126,4107,7047,5481,3965,4.71
510,Arsenal,Islington, ,4592,4071,2795,4048,3376,2755,2.90
511,Baker Street,City of Westminster, ,51324,33782,24996,50724,33120,23790,32.18
512,Balham,Wandsworth, ,20943,16025,9930,21127,15518,10197,13.47
513,Bank & Monument,City of London,B,96148,23139,13126,95637,21394,11768,52.31
501,Barbican,City of London, ,19773,7124,5090,20069,7502,5150,11.44
514,Barking,Barking and Dagenham, ,25756,17373,11500,23987,15390,10599,15.59
515,Barkingside,Redbridge, ,2390,1151,704,2150,1137,726,1.35
516,Barons Court,Hammersmith and Fulham, ,12540,7497,5236,11854,6367,5070,7.50
517,Bayswater,City of Westminster, ,7933,8633,7352,7762,8543,6669,5.69
518,Becontree,Barking and Dagenham, ,5657,3540,2200,5359,3302,2085,3.40
519,Belsize Park,Camden, ,9829,6019,4731,9026,5691,4567,5.93
787,Bermondsey,Southwark, ,14908,10827,7288,14340,10513,7458,9.38
520,Bethnal Green,Tower Hamlets, ,24593,19981,14639,23877,19891,14859,16.08
521,Blackfriars,City of London,,22895,10005,7615,22294,7849,5628,13.14
522,Blackhorse Road,Waltham Forest, ,13766,10592,7141,13037,9237,6773,8.63
524,Bond Street,City of Westminster, ,25818,29906,17376,34181,23248,14082,19.80
525,Borough,Southwark, ,8315,5552,3518,8559,6188,3760,5.31
526,Boston Manor,Ealing, ,3766,2401,1700,3507,2183,1686,2.28
527,Bounds Green,Haringey, ,10250,8224,5560,9887,7455,5540,6.56
528,Bow Road,Tower Hamlets, ,9191,6409,4437,8970,5882,4575,5.77
529,Brent Cross,Barnet, ,3773,2659,2161,3665,2494,2082,2.40
778,Brixton,Lambeth, ,45020,36889,25475,43899,36899,26050,29.37
530,Bromley-by-Bow,Tower Hamlets, ,5550,3557,2555,5423,3180,2333,3.41
531,Buckhurst Hill,Epping Forest, ,3447,1905,1007,3474,1777,1007,2.06
532,Burnt Oak,Barnet, ,6727,4231,2852,6399,3955,2857,4.08
534,Caledonian Road,Islington, ,9614,7080,4884,9129,6219,4775,6.00
535,Camden Town,Camden, ,30646,38310,17679,32424,45865,33767,23.37
788,Canada Water,Southwark, ,17237,16620,11394,17384,16307,11367,11.81
852,Canary Wharf,Tower Hamlets, ,87683,31337,21275,93712,32810,22461,51.81
884,Canning Town,Newham, ,15808,12615,8622,15168,11643,8358,10.10
536,Cannon Street,City of London,A,11054,2684,0,9059,1378,0,5.30
537,Canons Park,Harrow, ,4262,2784,1644,4160,2550,1561,2.60
539,Chalfont & Latimer,Chiltern, ,2526,1118,624,2624,964,490,1.48
540,Chalk Farm,Camden, ,9001,8779,7714,7966,7110,5412,5.89
541,Chancery Lane,City of London, ,28971,7487,3824,31722,7743,3715,16.59
718,Charing Cross,City of Westminster, ,34665,34077,21622,28667,24648,16092,21.30
543,Chesham,Chiltern, ,1536,751,459,1174,691,433,0.81
544,Chigwell,Epping Forest, ,1064,365,187,818,318,196,0.53
545,Chiswick Park,Ealing, ,3580,2163,1422,4294,2193,1567,2.39
546,Chorleywood,Three Rivers, ,1911,808,451,1602,943,853,1.06
547,Clapham Common,Lambeth, ,12394,11356,7619,14270,12956,8112,8.94
548,Clapham North,Lambeth, ,8800,8988,5585,11056,9503,5995,6.67
549,Clapham South,Wandsworth, ,13297,9475,6292,13437,8744,6577,8.47
550,Cockfosters,Enfield, ,2815,2672,2163,2816,2459,2136,1.95
551,Colindale,Barnet, ,8889,5897,3982,8384,5037,3793,5.40
552,Colliers Wood,Merton, ,9978,7827,5505,9413,7074,5209,6.31
553,Covent Garden,City of Westminster, ,17133,19410,13818,23791,38006,20814,15.38
554,Croxley,Three Rivers, ,1776,806,416,1780,753,424,1.03
555,Dagenham East,Barking and Dagenham, ,4520,2909,1743,4100,2536,1614,2.66
556,Dagenham Heathway,Barking and Dagenham, ,9521,5870,3568,9383,5675,3499,5.80
557,Debden,Epping Forest, ,4384,2051,1008,4158,1800,937,2.48
558,Dollis Hill,Brent, ,6120,4334,3303,3460,2380,1886,3.08
560,Ealing Broadway,Ealing, ,28589,18639,12901,26665,17916,12523,17.38
561,Ealing Common,Ealing, ,5518,4048,2686,5689,3897,2761,3.57
562,Earl's Court,Kensington and Chelsea, ,32309,29335,22597,32278,29609,21461,22.01
563,East Acton,Hammersmith and Fulham, ,6319,4520,3281,6295,4045,3162,4.02
565,East Finchley,Barnet, ,12104,7816,4829,11605,6789,4766,7.32
566,East Ham,Newham, ,23255,17876,12391,22701,16066,11754,14.82
567,East Putney,Wandsworth, ,10169,6759,4451,9482,5928,4182,6.14
564,Eastcote,Hillingdon, ,4759,2562,1570,4374,2469,1581,2.76
568,Edgware,Barnet, ,7249,4918,3761,7162,4724,3663,4.59
774,Edgware Road (Bak),City of Westminster,,6677,4694,2975,6829,4863,2908,4.26
569,Edgware Road (Cir),City of Westminster, ,11838,7750,5615,11563,7334,4994,7.33
570,Elephant & Castle,Southwark, ,29479,20985,15605,28109,20357,14268,18.48
571,Elm Park,Havering, ,5089,2637,1559,4975,2443,1526,2.99
542,Embankment,City of Westminster, ,28660,27643,17017,29540,28916,16815,19.66
572,Epping,Epping Forest, ,5480,3973,2398,4062,3494,2159,3.07
574,Euston,Camden, ,60344,49253,39181,64431,50366,38497,41.33
575,Euston Square,Camden, ,23914,10365,7818,24955,10150,7399,14.33
576,Fairlop,Redbridge, ,1840,1069,626,1738,1044,622,1.09
577,Farringdon,Islington, ,42537,10317,6781,43366,11250,6334,23.63
578,Finchley Central,Barnet, ,9486,6096,3286,9032,5334,3444,5.68
579,Finchley Road,Camden, ,16030,11391,8506,15361,10427,8186,10.06
580,Finsbury Park,Islington,A,42657,39843,23766,42260,32598,22752,28.00
581,Fulham Broadway,Hammersmith and Fulham, ,16739,12375,7761,17203,12278,7446,10.77
582,Gants Hill,Redbridge, ,10753,6482,4514,10414,6366,4597,6.56
583,Gloucester Road,Kensington and Chelsea, ,18943,14346,11353,17873,12984,9466,11.96
584,Golders Green,Barnet, ,12907,9382,7297,12646,8600,7112,8.25
585,Goldhawk Road,Hammersmith and Fulham, ,3386,2401,1409,3265,2214,1514,2.10
586,Goodge Street,Camden, ,14153,6642,3573,14558,6885,3400,8.38
587,Grange Hill,Redbridge, ,1105,440,242,988,397,215,0.60
588,Great Portland Street,City of Westminster, ,15081,5317,3830,14525,4831,3110,8.43
590,Green Park,City of Westminster, ,60138,38715,21273,68994,46942,24589,39.83
