nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
589,Greenford,Ealing, ,7548,4901,3004,7418,4562,2945,4.63
591,Gunnersbury,Hounslow, ,9833,3328,2364,9212,2957,2152,5.41
592,Hainault,Redbridge, ,5851,3341,2117,5597,3173,2061,3.48
593,Hammersmith (Dis),Hammersmith and Fulham, ,46667,32245,22664,46003,29964,21087,29.26
773,Hammersmith (H&C),Hammersmith and Fulham, ,16456,10568,7357,14339,10098,7106,9.72
594,Hampstead,Camden, ,6273,5081,4308,6745,5456,4556,4.36
595,Hanger Lane,Ealing, ,6418,3996,2779,5975,3657,2469,3.84
596,Harlesden,Brent, ,4663,2824,1393,4550,2615,1307,2.77
597,Harrow & Wealdstone,Harrow, ,7782,4867,2551,7054,4223,2296,4.51
598,Harrow-on-the-Hill,Harrow, ,15116,10303,7228,16180,10522,7485,9.87
779,Hatton Cross,Hillingdon, ,5104,3976,3059,4779,3481,2617,3.22
781,Heathrow Terminal 4,Hillingdon, ,10744,12043,12509,9538,10168,10700,7.66
783,Heathrow Terminal 5,Hillingdon, ,2855,3354,3718,2639,3251,2930,2.13
780,Heathrow Terminals 123,Hillingdon, ,6243,6026,7006,5346,4832,5296,4.22
601,Hendon Central,Barnet, ,12335,7243,5220,11755,6331,5015,7.40
602,High Barnet,Barnet, ,5275,3291,2422,5107,3129,2227,3.23
605,High Street Kensington,Kensington and Chelsea, ,21040,15899,11051,21802,16171,10612,13.78
603,Highbury & Islington,Islington, ,28128,21365,13984,28425,22196,15000,18.28
604,Highgate,Haringey, ,8070,5673,3566,7934,5347,3567,5.04
606,Hillingdon,Hillingdon, ,2932,2000,1315,2788,1851,1250,1.80
607,Holborn,Camden, ,57013,35375,21498,61040,39133,22129,36.32
608,Holland Park,Kensington and Chelsea, ,5218,3204,2275,4924,3157,2209,3.16
609,Holloway Road,Islington, ,10645,7176,4903,10540,6663,4986,6.66
610,Hornchurch,Havering, ,3681,1791,983,3594,1831,989,2.15
611,Hounslow Central,Hounslow, ,6277,4372,3316,6280,4266,3186,4.01
612,Hounslow East,Hounslow, ,6873,5560,4037,7430,5454,4017,4.67
613,Hounslow West,Hounslow, ,5551,4522,3501,5345,4179,3297,3.61
614,Hyde Park Corner,City of Westminster, ,7457,9291,8092,8153,8701,8043,5.84
615,Ickenham,Hillingdon, ,1864,1040,654,1962,1030,701,1.16
616,Kennington,Southwark, ,7722,6010,4063,7477,5835,4361,4.96
617,Kensal Green,Brent, ,3787,3056,1815,3269,2522,1645,2.28
618,Kensington (Olympia),Kensington and Chelsea, ,1544,6745,4029,1569,6314,4121,1.95
619,Kentish Town,Camden, ,12725,8236,5466,12212,7391,4661,7.72
620,Kenton,Brent, ,3273,1900,1316,3070,1987,1238,1.96
621,Kew Gardens,Richmond, ,5491,4007,2882,5502,4373,2958,3.56
622,Kilburn,Brent, ,12161,9843,6999,11793,9028,6964,7.87
623,Kilburn Park,Brent, ,5053,4254,3499,5088,4069,2998,3.38
625,King's Cross St. Pancras,Camden, ,144672,106330,87488,135842,105060,82380,91.98
624,Kingsbury,Brent, ,7473,4604,3239,7313,4440,3130,4.59
626,Knightsbridge,Kensington and Chelsea, ,31305,29187,20299,31258,33211,20351,21.47
627,Ladbroke Grove,Kensington and Chelsea, ,9421,10827,5176,8664,7390,4227,6.08
628,Lambeth North,Lambeth, ,5334,5232,3537,5111,4933,3252,3.57
629,Lancaster Gate,City of Westminster, ,9961,8110,6546,9801,7764,5767,6.55
630,Latimer Road,Kensington and Chelsea, ,4038,2026,1214,4049,1835,1209,2.39
631,Leicester Square,City of Westminster, ,57907,89915,54607,53482,85056,47675,43.31
632,Leyton,Waltham Forest, ,21676,18289,12615,20989,16288,12385,14.07
633,Leytonstone,Waltham Forest, ,17374,12905,8717,17052,12223,8878,11.05
634,Liverpool Street,City of London, ,113595,67751,57580,119957,69975,68031,73.66
635,London Bridge,Southwark, ,116460,93996,57674,115763,90158,55008,74.98
636,Loughton,Epping Forest, ,5343,2998,1594,5547,2921,1668,3.26
637,Maida Vale,City of Westminster, ,5526,4060,2877,5172,3759,2808,3.45
638,Manor House,Hackney, ,14313,11985,9110,13917,10639,9083,9.39
639,Mansion House,City of London, ,10976,3186,2877,11223,2399,2019,6.20
640,Marble Arch,City of Westminster, ,24265,24108,17436,22285,20123,16953,16.11
641,Marylebone,City of Westminster, ,20628,13541,9407,21792,14270,9526,13.30
642,Mile End,Tower Hamlets, ,24501,18833,13107,23616,17311,13049,15.60
643,Mill Hill East,Barnet,A,2216,1115,695,2013,1334,817,1.29
646,Moor Park,Three Rivers, ,1580,600,358,1514,592,348,0.89
645,Moorgate,City of London, ,45647,6366,4191,51569,7967,5202,25.90
647,Morden,Merton, ,14081,9407,6425,13267,8836,6282,8.62
648,Mornington Crescent,Camden, ,7038,4929,13317,6419,3383,2263,4.76
649,Neasden,Brent, ,5641,3834,2594,5127,3591,2550,3.41
650,Newbury Park,Redbridge, ,8321,5214,3637,6375,4303,3245,4.62
653,North Acton,Ealing, ,9301,5814,4186,8965,5328,3921,5.68
654,North Ealing,Ealing, ,1506,945,620,1374,850,603,0.89
789,North Greenwich,Greenwich, ,34350,29217,23577,37376,32607,25763,24.27
656,North Harrow,Harrow, ,3120,1564,982,2989,1414,977,1.82
659,North Wembley,Brent, ,2666,1986,1206,2572,1801,1138,1.66
655,Northfields,Ealing, ,6711,4497,3070,6666,4267,3215,4.21
657,Northolt,Ealing, ,7963,5756,3791,7769,5293,3631,4.99
660,Northwick Park,Brent, ,7435,3666,2759,7384,3423,2708,4.44
661,Northwood,Hillingdon, ,4362,2320,1406,3815,2073,1402,2.46
662,Northwood Hills,Hillingdon, ,2886,1536,966,2528,1364,873,1.63
663,Notting Hill Gate,Kensington and Chelsea, ,24063,27547,15675,24627,32485,17544,17.40
664,Oakwood,Enfield, ,4255,3717,2628,4578,3629,2769,2.94
665,Old Street,Islington, ,37390,21840,14261,38321,25400,13962,23.28
667,Osterley,Hounslow, ,3810,2960,2071,3857,2594,1822,2.46
668,Oval,Lambeth, ,10072,7637,5130,9861,6986,4946,6.40
669,Oxford Circus,City of Westminster, ,143996,118485,71379,157520,138779,78627,98.51
670,Paddington,City of Westminster, ,77859,52793,43878,76334,50338,39338,49.28
671,Park Royal,Ealing, ,3289,1819,1140,3243,1858,1116,1.98
672,Parsons Green,Hammersmith and Fulham, ,11178,6947,4019,11063,6438,4050,6.80
673,Perivale,Ealing, ,3725,2582,1636,3719,2444,1633,2.34
674,Piccadilly Circus,City of Westminster, ,59609,74166,45614,58874,75303,42246,42.93
776,Pimlico,City of Westminster, ,18448,11377,8565,18054,11219,8542,11.42
675,Pinner,Harrow, ,4783,2591,1558,4667,2446,1567,2.84
676,Plaistow,Newham, ,10882,7166,5316,10595,6752,5340,6.79
677,Preston Road,Brent, ,5638,3444,2612,5522,3292,2487,3.47
678,Putney Bridge,Hammersmith and Fulham, ,9113,6223,4196,9813,6251,4201,5.93
680,Queen's Park,Brent, ,9383,6546,5323,8673,5656,5549,5.84
679,Queensbury,Brent, ,6788,4136,2912,6800,3928,2817,4.20
681,Queensway,City of Westminster, ,10718,11121,8707,10677,11061,8621,7.59
682,Ravenscourt Park,Hammersmith and Fulham, ,4842,2743,1806,4674,2529,2029,2.91
683,Rayners Lane,Harrow, ,7067,4259,2905,7116,4117,2983,4.37
684,Redbridge,Redbridge, ,4729,3503,2472,4343,3007,2186,2.91
685,Regent's Park,City of Westminster, ,5567,3041,2213,6389,4061,3160,3.71
686,Richmond,Richmond,A,12837,12952,6598,12327,12079,6631,8.45
687,Rickmansworth,Three Rivers, ,4306,1855,1081,4026,1725,1041,2.42
688,Roding Valley,Epping Forest,A,501,201,106,381,171,107,0.26
690,Royal Oak,City of Westminster, ,4441,2664,1926,4287,2498,1927,2.70
691,Ruislip,Hillingdon, ,3022,1927,1322,3061,1927,1330,1.90
692,Ruislip Gardens,Hillingdon, ,1938,1248,704,1548,1063,686,1.08
693,Ruislip Manor,Hillingdon, ,3295,1896,1151,3210,1802,1175,1.98
694,Russell Square,Camden, ,19484,15997,12606,19770,16628,11951,13.08
698,Seven Sisters,Haringey, ,24995,20795,15161,23293,17995,14246,15.97
700,Shepherd's Bush (Cen),Hammersmith and Fulham, ,34956,31662,21090,33201,29917,19995,22.87
775,Shepherd's Bush (H&C),Hammersmith and Fulham, ,5810,5369,3333,5132,4593,3047,3.66
702,Sloane Square,Kensington and Chelsea, ,25837,20551,12501,26029,21298,12308,16.76
703,Snaresbrook,Redbridge, ,5140,2608,1555,4115,2370,1521,2.78
704,South Ealing,Ealing, ,5726,4390,2807,5818,4142,2889,3.70
707,South Harrow,Harrow, ,3881,2761,1846,4020,2750,1851,2.50
708,South Kensington,Kensington and Chelsea, ,52892,45625,36673,54546,49722,36581,36.46
709,South Kenton,Brent,A,1885,1103,628,1724,1017,721,1.10
710,South Ruislip,Hillingdon, ,2881,2067,1285,2676,1924,1213,1.76
711,South Wimbledon,Merton, ,7077,4428,2882,6618,4476,3089,4.28
712,South Woodford,Redbridge, ,7287,4826,2669,8999,5722,3475,5.03
705,Southfields,Wandsworth, ,10108,7189,4470,9367,6090,4283,6.13
706,Southgate,Enfield, ,8522,6230,4053,9184,6404,4372,5.63
784,Southwark,Southwark, ,23624,9858,6415,24951,10991,6674,14.15
695,St. James's Park,City of Westminster, ,28696,8059,5671,27550,7954,5638,15.73
696,St. John's Wood,City of Westminster, ,12063,7591,5491,12323,7632,5633,7.62
697,St. Paul's,City of London, ,28358,15846,10640,29905,14555,9997,17.54
713,Stamford Brook,Hammersmith and Fulham, ,4402,2796,1780,4275,2464,1674,2.67
714,Stanmore,Harrow, ,6020,4337,2889,6218,4277,2995,3.89
715,Stepney Green,Tower Hamlets, ,8989,5851,4070,8362,4952,3998,5.43
716,Stockwell,Lambeth, ,18316,12343,8657,14534,10838,8359,10.52
717,Stonebridge Park,Brent, ,4217,2639,1681,4249,2543,1697,2.61
719,Stratford,Newham, ,86183,92110,61847,83030,88485,58602,59.31
720,Sudbury Hill,Ealing, ,3563,2278,1468,3564,2239,1469,2.21
721,Sudbury Town,Brent, ,3551,2512,1730,3089,2005,1465,2.10
723,Swiss Cottage,Camden, ,11796,7929,5493,11318,7536,5185,7.28
724,Temple,City of Westminster, ,13515,5625,3713,14491,6408,3485,8.14
725,Theydon Bois,Epping Forest, ,1421,834,441,1402,788,428,0.85
726,Tooting Bec,Wandsworth, ,12083,9082,6020,11427,8189,6045,7.56
727,Tooting Broadway,Wandsworth, ,23628,17840,11659,23365,16837,12448,15.11
728,Tottenham Court Road,City of Westminster, ,56017,47647,30721,55983,47645,28111,36.76
729,Tottenham Hale,Haringey, ,18983,13976,9826,18311,12509,8793,11.91
730,Totteridge & Whetstone,Barnet, ,3794,2229,1396,3544,2050,1358,2.24
731,Tower Hill,Tower Hamlets, ,36536,38629,28152,38467,39249,27754,26.32
733,Tufnell Park,Islington, ,6309,5267,3520,5689,4443,3241,3.94
734,Turnham Green,Hounslow, ,9817,7099,4809,10431,7243,5201,6.46
735,Turnpike Lane,Haringey, ,16502,14281,9996,15982,12548,9575,10.77
736,Upminster,Havering,A,8180,5275,2382,9005,4782,2454,5.16
737,Upminster Bridge,Havering, ,2041,718,308,2055,650,283,1.14
738,Upney,Barking and Dagenham, ,4380,2515,1642,3941,2169,1426,2.53
739,Upton Park,Newham, ,17820,13798,9623,17289,12827,9824,11.41
740,Uxbridge,Hillingdon, ,12914,8343,5129,13195,7937,5421,8.07
777,Vauxhall,Lambeth, ,44774,32338,23185,40828,28742,22167,27.51
741,Victoria,City of Westminster, ,130315,101732,77221,134661,100915,77932,86.73
742,Walthamstow Central,Waltham Forest, ,28214,21052,14063,27885,20415,14805,18.05
743,Wanstead,Redbridge, ,4680,3922,2790,4693,3807,2576,3.09
745,Warren Street,Camden, ,33716,12814,8553,34127,11836,7707,19.41
746,Warwick Avenue,City of Westminster, ,7245,5182,3551,6846,4790,3659,4.51
747,Waterloo,Lambeth,T,144764,103536,60995,145655,102111,63110,91.49
748,Watford,Watford, ,2962,1560,984,2873,1591,989,1.76
751,Wembley Central,Brent, ,7852,6639,4602,8522,6942,6852,5.52
752,Wembley Park,Brent, ,20894,18370,14863,20613,18129,14108,14.11
753,West Acton,Ealing, ,2705,1867,1153,2605,1698,1166,1.67
755,West Brompton,Kensington and Chelsea, ,6553,5272,3233,7480,5037,3285,4.47
756,West Finchley,Barnet, ,2620,1490,874,2468,1294,889,1.54
757,West Ham,Newham, ,5592,4787,3232,4994,4161,2954,3.51
758,West Hampstead,Camden, ,17676,11535,7129,16411,10270,6986,10.59
759,West Harrow,Harrow, ,1959,1174,674,1963,1274,715,1.20
760,West Kensington,Hammersmith and Fulham, ,8237,6059,4337,7791,5228,4031,5.14
762,West Ruislip,Hillingdon, ,2458,2164,1114,2342,1991,1055,1.56
754,Westbourne Park,City of Westminster, ,6443,4404,2830,5371,3646,2597,3.73
761,Westminster,City of Westminster, ,38015,36354,24853,38929,37190,21610,26.03
764,White City,Hammersmith and Fulham, ,11936,6668,4232,13062,6599,4244,7.51
763,Whitechapel,Tower Hamlets, ,20551,11506,8080,21755,12003,8275,12.89
765,Willesden Green,Brent, ,13863,10996,7743,13169,9677,7595,8.82
766,Willesden Junction,Brent,A,7185,4956,2731,7339,4614,2890,4.50
767,Wimbledon,Merton,A,24613,16353,9999,24197,17101,10511,15.30
768,Wimbledon Park,Merton, ,3242,2295,1201,2608,1554,955,1.81
770,Wood Green,Haringey, ,19935,17903,12231,19910,17200,12279,13.35
599,Wood Lane,Hammersmith and Fulham, ,5671,4790,2898,6612,5161,3167,3.98
769,Woodford,Redbridge, ,9339,6588,3802,9394,6201,4094,5.87
771,Woodside Park,Barnet, ,4328,2763,1705,4143,2839,1896,2.65
